order number,date,meat,cheese,sides,toppings,sauce
1-34,2024-10-01,Grilled Chicken,Cheddar,NA,"Jalapenos, Tomatoes, Parmesan",Garlic Parmesan
1-37,2024-10-01,"Brisket, Bacon",Pepper Jack,NA,"Bell Peppers, Corn, Jalapenos, Breadcrumbs, Onions",BBQ
1-38,2024-10-01,"Brisket, Grilled Chicken",MIX,NA,"Jalapenos, Parmesan, Onions, Bell Peppers",BBQ
1-41,2024-10-01,Grilled Chicken,Cheddar,NA,"Tomatoes, Pineapple, Bell Peppers, Jalapenos, Onions, Mushrooms",BBQ
1-40,2024-10-01,NA,Cheddar,NA,NA,NA
1-42,2024-10-01,Brisket,Alfredo,Cheesy Garlic Bread,"Parmesan, Pineapple, Corn, Breadcrumbs, Broccoli",Garlic Parmesan
1-43,2024-10-01,NA,MIX,Cheesy Garlic Bread,"Jalapenos, Parmesan, Breadcrumbs",Hot Honey
1-44,2024-10-01,Bacon,Cheddar,NA,Parmesan,Garlic Parmesan
1-45,2024-10-01,Grilled Chicken,Alfredo,NA,"Parmesan, Bell Peppers, Corn, Jalapenos, Onions, Mushrooms, Broccoli","Garlic Parmesan, Pesto"
1-46,2024-10-01,Brisket,MIX,NA,"Parmesan, Jalapenos, Onions, Breadcrumbs, Mushrooms, Broccoli","Hot Honey, Garlic Parmesan"
1-39,2024-10-01,Bacon,Cheddar,Cheesy Garlic Bread,Mushrooms,Ranch
1-47,2024-10-01,Grilled Chicken,Cheddar,NA,"Corn, Mushrooms, Broccoli",Garlic Parmesan
1-49,2024-10-01,Bacon,Cheddar,NA,Parmesan,Garlic Parmesan
1-50,2024-10-01,NA,Cheddar,NA,"Pineapple, Bell Peppers, Corn, Mushrooms, Broccoli",NA
1-51,2024-10-01,NA,Alfredo,Garlic Bread,"Breadcrumbs, Parmesan, Mushrooms, Broccoli","Hot Honey, Garlic Parmesan, Pesto"
1-53,2024-10-01,Bacon,Cheddar,NA,Breadcrumbs,Hot Honey
1-54,2024-10-01,Brisket,Cheddar,Cheesy Garlic Bread,"Corn, Broccoli",Ranch
1-52,2024-10-01,Brisket,MIX,NA,"Parmesan, Bell Peppers, Corn, Breadcrumbs, Mushrooms, Broccoli","Garlic Parmesan, Pesto"
1-55,2024-10-01,Brisket,Cheddar,NA,"Breadcrumbs, Tomatoes, Onions, Parmesan",Garlic Parmesan
1-56,2024-10-01,Bacon,Cheddar,Garlic Bread,Breadcrumbs,Pesto
1-57,2024-10-01,Bacon,Cheddar,NA,Corn,Buffalo
1-58,2024-10-01,NA,Pepper Jack,NA,"Tomatoes, Parmesan, Bell Peppers, Corn, Onions, Breadcrumbs, Mushrooms, Broccoli","Garlic Parmesan, Pesto"
1-59,2024-10-01,Grilled Chicken,Cheddar,NA,"Tomatoes, Parmesan, Bell Peppers, Corn, Jalapenos, Onions, Breadcrumbs, Mushrooms, Broccoli",Buffalo
1-60,2024-10-01,Grilled Chicken,MIX,NA,"Tomatoes, Pineapple, Parmesan, Corn, Jalapenos","Hot Honey, Garlic Parmesan"
1-61,2024-10-01,Bacon,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Onions, Bell Peppers",Ranch
1-63,2024-10-01,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs","Garlic Parmesan, Pesto"
1-65,2024-10-01,Grilled Chicken,Cheddar,NA,Corn,NA
1-64,2024-10-01,NA,Cheddar,Cheesy Garlic Bread,Jalapenos,NA
1-68,2024-10-01,Brisket,MIX,NA,"Jalapenos, Parmesan, Onions, Mushrooms","Pesto, BBQ, Buffalo"
1-69,2024-10-01,Grilled Chicken,Cheddar,NA,NA,NA
1-71,2024-10-01,Grilled Chicken,MIX,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
1-72,2024-10-01,Bacon,MIX,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
1-74,2024-10-01,Brisket,Cheddar,NA,"Parmesan, Corn, Breadcrumbs, Onions, Mushrooms, Broccoli","Ranch, Buffalo, BBQ"
1-73,2024-10-01,Brisket,Pepper Jack,NA,Breadcrumbs,BBQ
1-77,2024-10-01,Grilled Chicken,Alfredo,NA,"Mushrooms, Broccoli",NA
1-78,2024-10-01,Bacon,MIX,NA,Breadcrumbs,Garlic Parmesan
1-79,2024-10-01,"Brisket, Bacon",MIX,NA,"Parmesan, Breadcrumbs","Hot Honey, Garlic Parmesan"
1-81,2024-10-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Hot Honey
1-82,2024-10-01,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs",Buffalo
1-80,2024-10-01,NA,Cheddar,NA,Broccoli,Garlic Parmesan
1-83,2024-10-01,Brisket,Cheddar,NA,"Corn, Mushrooms, Broccoli",Garlic Parmesan
1-84,2024-10-01,"Grilled Chicken, Bacon",Cheddar,NA,Parmesan,Pesto
1-86,2024-10-01,NA,MIX,Cheesy Garlic Bread,"Jalapenos, Parmesan, Breadcrumbs, Bell Peppers","Garlic Parmesan, Pesto, Ranch"
1-85,2024-10-01,NA,MIX,Cheesy Garlic Bread,"Bell Peppers, Corn, Jalapenos, Onions, Broccoli","Garlic Parmesan, Pesto"
1-87,2024-10-01,Brisket,Pepper Jack,NA,"Corn, Mushrooms",Buffalo
1-88,2024-10-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Broccoli",Buffalo
1-89,2024-10-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,NA,Pesto
1-90,2024-10-01,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs",Ranch
1-91,2024-10-01,Grilled Chicken,Pepper Jack,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
1-92,2024-10-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Bell Peppers",NA
1-93,2024-10-01,Grilled Chicken,Alfredo,NA,NA,Pesto
1-94,2024-10-01,Grilled Chicken,Cheddar,Cheesecake,"Tomatoes, Corn, Parmesan, Broccoli",NA
1-95,2024-10-01,Brisket,Pepper Jack,Cheesecake,"Corn, Breadcrumbs, Parmesan",Ranch
1-96,2024-10-01,Brisket,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Bell Peppers",BBQ
1-97,2024-10-01,NA,Cheddar,Garlic Bread,Breadcrumbs,NA
1-98,2024-10-01,"Ham, Bacon",Cheddar,Garlic Bread,Jalapenos,NA
1-99,2024-10-01,Grilled Chicken,Alfredo,NA,"Jalapenos, Mushrooms","Garlic Parmesan, Pesto"
1-103,2024-10-01,Brisket,Cheddar,NA,"Tomatoes, Pineapple, Parmesan, Bell Peppers, Corn, Onions, Mushrooms, Broccoli","Garlic Parmesan, Pesto"
1-101,2024-10-01,Brisket,Cheddar,NA,"Jalapenos, Corn, Onions, Parmesan",Ranch
1-102,2024-10-01,Brisket,Cheddar,Cheesy Garlic Bread,Corn,"BBQ, Ranch"
1-100,2024-10-01,"Brisket, Grilled Chicken","Alfredo, MIX",Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Broccoli","Pesto, BBQ"
1-105,2024-10-01,Grilled Chicken,Cheddar,Garlic Bread,"Breadcrumbs, Jalapenos, Onions",Buffalo
1-111,2024-10-01,Brisket,MIX,NA,"Parmesan, Bell Peppers, Corn, Jalapenos, Onions, Breadcrumbs","Hot Honey, Pesto, BBQ, Buffalo"
1-112,2024-10-01,Grilled Chicken,Cheddar,NA,"Jalapenos, Parmesan",Buffalo
1-109,2024-10-01,NA,MIX,Garlic Bread,"Breadcrumbs, Parmesan, Mushrooms, Broccoli",NA
1-110,2024-10-01,NA,MIX,NA,"Tomatoes, Parmesan, Bell Peppers, Corn, Jalapenos, Onions, Breadcrumbs, Mushrooms, Broccoli",NA
1-113,2024-10-01,NA,MIX,NA,"Tomatoes, Parmesan, Bell Peppers, Corn, Jalapenos, Onions, Breadcrumbs, Mushrooms, Broccoli",NA
1-114,2024-10-01,Brisket,Cheddar,NA,"Tomatoes, Parmesan, Bell Peppers, Jalapenos, Breadcrumbs",NA
1-115,2024-10-01,NA,Cheddar,NA,"Parmesan, Bell Peppers, Jalapenos, Onions, Breadcrumbs, Mushrooms",Garlic Parmesan
1-116,2024-10-01,Brisket,Cheddar,Cheesy Garlic Bread,NA,Ranch
1-117,2024-10-01,NA,Cheddar,NA,"Tomatoes, Mushrooms, Bell Peppers, Broccoli",NA
2-5,2024-10-02,"Brisket, Grilled Chicken",MIX,NA,"Parmesan, Breadcrumbs","BBQ, Ranch"
2-6,2024-10-02,Bacon,MIX,NA,"Breadcrumbs, Parmesan, Onions, Broccoli",Ranch
2-7,2024-10-02,Grilled Chicken,Cheddar,NA,NA,NA
2-8,2024-10-02,Bacon,Cheddar,NA,"Jalapenos, Tomatoes, Onions, Parmesan",Buffalo
2-9,2024-10-02,"Grilled Chicken, Bacon",Alfredo,NA,"Parmesan, Breadcrumbs","BBQ, Ranch"
2-11,2024-10-02,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Pineapple, Corn, Breadcrumbs, Mushrooms","Garlic Parmesan, Pesto"
2-13,2024-10-02,Brisket,Pepper Jack,Cheesy Garlic Bread,"Tomatoes, Corn, Onions, Bell Peppers",Buffalo
2-14,2024-10-02,Bacon,Cheddar,NA,Parmesan,Garlic Parmesan
2-12,2024-10-02,NA,Cheddar,NA,Parmesan,NA
2-15,2024-10-02,NA,MIX,Cheesy Garlic Bread,"Jalapenos, Corn, Breadcrumbs, Parmesan","Garlic Parmesan, Pesto, Ranch"
2-16,2024-10-02,Grilled Chicken,Cheddar,NA,NA,NA
2-18,2024-10-02,"Brisket, Bacon, Grilled Chicken","Pepper Jack, Cheddar",Garlic Bread,"Parmesan, Tomatoes, Bell Peppers, Corn, Jalapenos, Breadcrumbs, Onions, Mushrooms, Broccoli","BBQ, Buffalo, Hot Honey, Pesto, Ranch"
2-19,2024-10-02,Brisket,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Bell Peppers, Corn, Jalapenos, Breadcrumbs, Mushrooms, Broccoli",BBQ
2-17,2024-10-02,NA,"Alfredo, Cheddar",Cheesy Garlic Bread,"Tomatoes, Parmesan, Breadcrumbs, Onions, Mushrooms","Garlic Parmesan, Pesto"
2-20,2024-10-02,"Pulled Pork, Brisket",Pepper Jack,NA,"Parmesan, Bell Peppers, Jalapenos, Onions, Breadcrumbs, Mushrooms",Ranch
2-21,2024-10-02,Grilled Chicken,Alfredo,NA,"Parmesan, Corn, Onions, Breadcrumbs, Mushrooms, Broccoli","Garlic Parmesan, Buffalo"
2-22,2024-10-02,Brisket,Cheddar,NA,"Jalapenos, Onions",Garlic Parmesan
2-23,2024-10-02,Grilled Chicken,Alfredo,NA,"Corn, Broccoli","Garlic Parmesan, Ranch"
2-24,2024-10-02,Pulled Pork,Cheddar,NA,"Tomatoes, Mushrooms, Parmesan, Bell Peppers",NA
2-25,2024-10-02,"Grilled Chicken, Bacon",Cheddar,NA,"Parmesan, Broccoli",Buffalo
2-27,2024-10-02,NA,MIX,NA,"Breadcrumbs, Tomatoes, Mushrooms, Broccoli","Garlic Parmesan, Pesto"
2-26,2024-10-02,Bacon,MIX,NA,"Breadcrumbs, Corn, Mushrooms, Bell Peppers",NA
2-28,2024-10-02,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,NA,BBQ
2-29,2024-10-02,Bacon,Cheddar,Cheesy Garlic Bread,"Jalapenos, Parmesan","Garlic Parmesan, Pesto"
2-30,2024-10-02,Brisket,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",BBQ
2-31,2024-10-02,"Brisket, Bacon",Cheddar,NA,NA,BBQ
2-32,2024-10-02,NA,MIX,NA,"Tomatoes, Parmesan, Bell Peppers, Jalapenos, Onions, Breadcrumbs",Garlic Parmesan
2-33,2024-10-02,Bacon,"Cheddar Mac, Melted Cheddar",Garlic Bread,"Parmesan, Breadcrumbs",NA
2-34,2024-10-02,Grilled Chicken,Pepper Jack,NA,"Breadcrumbs, Parmesan, Mushrooms",Pesto
2-35,2024-10-02,Grilled Chicken,MIX,NA,Breadcrumbs,"Garlic Parmesan, Buffalo"
2-36,2024-10-02,Grilled Chicken,MIX,NA,"Parmesan, Breadcrumbs",Buffalo
2-38,2024-10-02,Grilled Chicken,Cheddar,Cheesecake,"Parmesan, Breadcrumbs",Garlic Parmesan
2-37,2024-10-02,Ham,MIX,NA,"Parmesan, Mushrooms",BBQ
2-39,2024-10-02,NA,Alfredo,NA,"Tomatoes, Parmesan, Bell Peppers, Corn, Jalapenos, Breadcrumbs",Pesto
2-40,2024-10-02,Brisket,MIX,NA,"Parmesan, Bell Peppers, Corn, Breadcrumbs, Onions",BBQ
2-42,2024-10-02,Bacon,Cheddar,Garlic Bread,"Breadcrumbs, Broccoli",NA
2-43,2024-10-02,Brisket,Cheddar,NA,"Breadcrumbs, Mushrooms, Onions",Hot Honey
2-44,2024-10-02,Grilled Chicken,"Pepper Jack, Cheddar",NA,"Tomatoes, Pineapple, Bell Peppers, Corn, Jalapenos, Breadcrumbs, Mushrooms, Broccoli","Garlic Parmesan, BBQ"
2-48,2024-10-02,Pulled Pork,Cheddar,NA,"Jalapenos, Bell Peppers",NA
2-46,2024-10-02,Bacon,Cheddar,Garlic Bread,"Breadcrumbs, Mushrooms",Garlic Parmesan
2-49,2024-10-02,"Brisket, Bacon",Cheddar,NA,"Onions, Bell Peppers",NA
2-50,2024-10-02,Grilled Chicken,Cheddar,NA,Parmesan,NA
2-51,2024-10-02,Brisket,Cheddar,Garlic Bread,"Parmesan, Bell Peppers, Corn, Breadcrumbs, Onions, Mushrooms",BBQ
2-52,2024-10-02,Brisket,MIX,NA,"Parmesan, Breadcrumbs","Ranch, BBQ"
2-53,2024-10-02,NA,Alfredo,NA,"Breadcrumbs, Parmesan, Mushrooms",NA
2-54,2024-10-02,Grilled Chicken,MIX,NA,"Mushrooms, Broccoli","Hot Honey, Garlic Parmesan, Ranch, Buffalo"
2-55,2024-10-02,NA,Cheddar,NA,Broccoli,Garlic Parmesan
2-56,2024-10-02,NA,MIX,NA,"Breadcrumbs, Broccoli",Garlic Parmesan
2-59,2024-10-02,Grilled Chicken,Cheddar,NA,Breadcrumbs,"Ranch, Buffalo"
2-57,2024-10-02,Grilled Chicken,MIX,Garlic Bread,"Tomatoes, Corn, Mushrooms",Garlic Parmesan
2-58,2024-10-02,Brisket,Cheddar,NA,"Breadcrumbs, Corn, Onions, Parmesan",Garlic Parmesan
2-61,2024-10-02,Pulled Pork,MIX,Cheesy Garlic Bread,"Breadcrumbs, Corn, Mushrooms, Onions",BBQ
2-62,2024-10-02,NA,Alfredo,NA,"Corn, Parmesan, Broccoli",Ranch
2-63,2024-10-02,Grilled Chicken,Alfredo,NA,"Tomatoes, Corn, Parmesan",Garlic Parmesan
2-64,2024-10-02,Pulled Pork,Alfredo,NA,"Parmesan, Bell Peppers, Corn, Onions, Breadcrumbs, Mushrooms, Broccoli",Garlic Parmesan
2-66,2024-10-02,NA,MIX,NA,"Tomatoes, Corn, Onions, Parmesan",NA
2-67,2024-10-02,Brisket,Cheddar,NA,"Breadcrumbs, Bell Peppers",BBQ
2-68,2024-10-02,Grilled Chicken,Pepper Jack,NA,"Tomatoes, Bell Peppers, Corn, Jalapenos, Onions, Mushrooms","Pesto, Buffalo"
2-69,2024-10-02,"Ham, Grilled Chicken",NA,Cheesy Garlic Bread,"Tomatoes, Parmesan, Pineapple, Breadcrumbs, Mushrooms, Broccoli","Hot Honey, Pesto"
2-70,2024-10-02,Grilled Chicken,MIX,Cheesy Garlic Bread,"Jalapenos, Parmesan, Bell Peppers",Garlic Parmesan
2-71,2024-10-02,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs",NA
2-74,2024-10-02,Brisket,Cheddar,NA,NA,NA
2-75,2024-10-02,Grilled Chicken,MIX,NA,"Tomatoes, Parmesan, Corn, Jalapenos, Onions, Breadcrumbs, Mushrooms, Broccoli","Garlic Parmesan, Pesto, BBQ, Ranch"
2-77,2024-10-02,Brisket,Cheddar,NA,"Parmesan, Breadcrumbs",NA
2-78,2024-10-02,Grilled Chicken,"Cheddar Mac, Melted Pepper Jack",Cheesy Garlic Bread,Parmesan,"Ranch, Buffalo"
2-80,2024-10-02,Pulled Pork,Cheddar,NA,NA,BBQ
2-83,2024-10-02,Bacon,Cheddar,Cheesy Garlic Bread,Mushrooms,Ranch
2-84,2024-10-02,Grilled Chicken,"Cheddar Mac, Melted Cheddar","Cheesy Garlic Bread, Cheesecake",Parmesan,Garlic Parmesan
2-85,2024-10-02,Brisket,Cheddar,NA,"Jalapenos, Parmesan, Breadcrumbs, Bell Peppers",BBQ
2-86,2024-10-02,Brisket,Cheddar,NA,"Breadcrumbs, Corn, Onions, Parmesan",Ranch
2-88,2024-10-02,NA,Alfredo,NA,"Parmesan, Jalapenos, Onions, Mushrooms, Broccoli",NA
2-89,2024-10-02,NA,Cheddar,Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
2-90,2024-10-02,Brisket,Cheddar,NA,Broccoli,NA
2-91,2024-10-02,Brisket,Cheddar,NA,"Jalapenos, Tomatoes, Onions","Hot Honey, Ranch, Buffalo"
2-92,2024-10-02,Grilled Chicken,Alfredo,NA,"Parmesan, Breadcrumbs",Pesto
2-93,2024-10-02,"Ham, Brisket","Melted Pepper Jack, Cheddar","Cheesy Garlic Bread, Doritos","Tomatoes, Parmesan, Bell Peppers, Corn, Jalapenos, Onions, Breadcrumbs","Garlic Parmesan, BBQ"
2-95,2024-10-02,Grilled Chicken,MIX,NA,"Mushrooms, Parmesan, Onions, Bell Peppers","Garlic Parmesan, Pesto"
2-94,2024-10-02,Grilled Chicken,MIX,NA,Breadcrumbs,"Ranch, Buffalo"
2-96,2024-10-02,Brisket,Pepper Jack,NA,"Breadcrumbs, Tomatoes, Mushrooms, Parmesan","Hot Honey, Garlic Parmesan, Ranch"
2-98,2024-10-02,NA,Cheddar,Large Chocolate Chunk Cookie,"Mushrooms, Onions, Broccoli",NA
2-97,2024-10-02,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs","Garlic Parmesan, Ranch"
2-99,2024-10-02,Bacon,MIX,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
2-101,2024-10-02,Bacon,Pepper Jack,"Cheesy Garlic Bread, Lays Classic","Breadcrumbs, Mushrooms",Garlic Parmesan
2-100,2024-10-02,Grilled Chicken,Alfredo,NA,Breadcrumbs,NA
2-102,2024-10-02,NA,NA,Cheesecake,NA,NA
2-104,2024-10-02,"Grilled Chicken, Bacon",MIX,NA,NA,NA
2-103,2024-10-02,NA,Alfredo,Cheesy Garlic Bread,"Tomatoes, Parmesan, Corn, Breadcrumbs, Mushrooms, Broccoli",Pesto
2-105,2024-10-02,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Onions",BBQ
2-106,2024-10-02,Grilled Chicken,Alfredo,NA,"Parmesan, Mushrooms, Broccoli",Pesto
2-107,2024-10-02,Brisket,Cheddar,Garlic Bread,Breadcrumbs,NA
2-110,2024-10-02,NA,Cheddar,NA,Breadcrumbs,Garlic Parmesan
2-108,2024-10-02,NA,MIX,Cheesy Garlic Bread,Broccoli,Garlic Parmesan
2-112,2024-10-02,Bacon,MIX,NA,"Breadcrumbs, Parmesan, Mushrooms",Garlic Parmesan
2-109,2024-10-02,NA,MIX,Cheesy Garlic Bread,"Tomatoes, Mushrooms, Broccoli",Garlic Parmesan
2-114,2024-10-02,Ham,Pepper Jack,NA,"Tomatoes, Onions, Broccoli",Buffalo
2-113,2024-10-02,Brisket,MIX,NA,"Parmesan, Bell Peppers, Jalapenos, Breadcrumbs, Onions",Garlic Parmesan
2-116,2024-10-02,Brisket,Pepper Jack,NA,"Breadcrumbs, Mushrooms, Onions, Bell Peppers",BBQ
2-117,2024-10-02,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs",Buffalo
2-118,2024-10-02,NA,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
2-120,2024-10-02,Brisket,Pepper Jack,NA,"Tomatoes, Parmesan, Corn, Onions, Breadcrumbs, Mushrooms, Broccoli","Garlic Parmesan, Pesto"
2-121,2024-10-02,Pulled Pork,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Bell Peppers, Onions",BBQ
2-123,2024-10-02,NA,Alfredo,Cheesecake,Mushrooms,Pesto
2-124,2024-10-02,NA,Alfredo,NA,"Tomatoes, Mushrooms, Parmesan",Pesto
2-125,2024-10-02,Grilled Chicken,"Pepper Jack Mac, Melted Pepper Jack",Cheesy Garlic Bread,"Breadcrumbs, Jalapenos, Parmesan, Onions",Ranch
2-126,2024-10-02,NA,"Cheddar Mac, Melted Cheddar",NA,NA,NA
2-128,2024-10-02,NA,Cheddar,NA,"Jalapenos, Corn, Bell Peppers, Broccoli","Garlic Parmesan, Pesto"
2-127,2024-10-02,Bacon,"Pepper Jack Mac, Melted Parmesan",NA,"Pineapple, Bell Peppers, Jalapenos, Onions, Mushrooms","Hot Honey, Garlic Parmesan, Pesto"
2-129,2024-10-02,Pulled Pork,Cheddar,NA,"Tomatoes, Mushrooms, Parmesan, Broccoli",BBQ
2-130,2024-10-02,Grilled Chicken,Cheddar,NA,Parmesan,Buffalo
2-131,2024-10-02,NA,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Ranch
2-132,2024-10-02,Bacon,Pepper Jack,NA,"Jalapenos, Corn, Onions",Hot Honey
2-133,2024-10-02,Grilled Chicken,Cheddar,NA,"Parmesan, Onions, Bell Peppers",NA
2-134,2024-10-02,"Bacon, Grilled Chicken",MIX,NA,"Tomatoes, Bell Peppers, Corn, Onions, Breadcrumbs, Mushrooms","Hot Honey, Ranch, Buffalo"
2-135,2024-10-02,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Corn, Breadcrumbs, Parmesan, Bell Peppers",Hot Honey
2-137,2024-10-02,Grilled Chicken,MIX,"Cheesy Garlic Bread, Cheesecake","Parmesan, Breadcrumbs",Pesto
2-140,2024-10-02,"Pulled Pork, Brisket, Bacon",Alfredo,"Cheesy Garlic Bread, Cheesecake","Tomatoes, Corn, Onions, Parmesan",Garlic Parmesan
2-138,2024-10-02,NA,"Cheddar Mac, Alfredo Mac, Melted Cheddar",NA,"Tomatoes, Parmesan","Garlic Parmesan, Ranch"
2-142,2024-10-02,Bacon,Melted Cheddar,NA,"Corn, Breadcrumbs, Parmesan",Garlic Parmesan
2-143,2024-10-02,Brisket,Pepper Jack,Cheesecake,"Tomatoes, Bell Peppers, Corn, Onions, Mushrooms, Broccoli","Hot Honey, Garlic Parmesan, Pesto"
2-141,2024-10-02,NA,Cheddar,NA,"Breadcrumbs, Corn, Mushrooms, Pineapple",Ranch
2-144,2024-10-02,"Brisket, Bacon",MIX,Cheesy Garlic Bread,"Breadcrumbs, Onions",BBQ
2-146,2024-10-02,Grilled Chicken,Cheddar,NA,"Corn, Mushrooms, Parmesan",BBQ
2-147,2024-10-02,Brisket,Pepper Jack,NA,"Tomatoes, Parmesan, Breadcrumbs, Pineapple",BBQ
2-148,2024-10-02,NA,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Bell Peppers","Garlic Parmesan, Ranch"
2-150,2024-10-02,NA,MIX,Cheesy Garlic Bread,"Parmesan, Breadcrumbs","Garlic Parmesan, Pesto"
2-152,2024-10-02,Grilled Chicken,Pepper Jack,Cheesecake,"Parmesan, Breadcrumbs",Garlic Parmesan
