order number,date,meat,cheese,sides,toppings,sauce
1-46,2024-08-01,"Grilled Chicken, Brisket",Cheddar,"Cheesy Garlic Bread, Cheesecake","Jalapenos, Bell Peppers, Onions",NA
1-48,2024-08-01,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Broccoli, Parmesan",NA
1-47,2024-08-01,NA,Cheddar,NA,"Parmesan, Jalapenos, Onions, Breadcrumbs, Mushrooms",BBQ
1-49,2024-08-01,"Brisket, Ham, Bacon",Cheddar,NA,"Mushrooms, Breadcrumbs, Broccoli, Parmesan",Hot Honey
1-50,2024-08-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Hot Honey, BBQ"
1-51,2024-08-01,Ham,Cheddar,NA,"Jalapenos, Pineapple, Bell Peppers",NA
1-53,2024-08-01,Pulled Pork,"Alfredo Mac, Melted Parmesan",Cheesy Garlic Bread,Corn,"Garlic Parmesan, Pesto"
1-55,2024-08-01,"Brisket, Ham, Bacon",Cheddar,"Garlic Bread, Cheetos, Doritos, Lays Classic","Mushrooms, Breadcrumbs, Broccoli, Parmesan",BBQ
1-54,2024-08-01,Ham,Cheddar,Cheesy Garlic Bread,"Corn, Parmesan",NA
1-56,2024-08-01,Bacon,Cheddar,NA,"Breadcrumbs, Parmesan",Garlic Parmesan
1-57,2024-08-01,NA,"Cheddar Mac, Melted Cheddar",NA,NA,Garlic Parmesan
2-2,2024-08-02,NA,Alfredo,NA,"Parmesan, Mushrooms",Garlic Parmesan
2-3,2024-08-02,NA,Melted Pepper Jack,NA,NA,Ranch
2-5,2024-08-02,Bacon,"MIX, Cheddar",Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
2-6,2024-08-02,Brisket,Cheddar,Cheesy Garlic Bread,"Jalapenos, Mushrooms, Breadcrumbs, Bell Peppers, Parmesan","Ranch, Hot Honey"
2-7,2024-08-02,Brisket,Alfredo,NA,Corn,BBQ
2-8,2024-08-02,Brisket,MIX,NA,"Tomatoes, Onions, Broccoli, Corn, Mushrooms","Buffalo, Garlic Parmesan"
2-9,2024-08-02,Brisket,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Jalapenos, Breadcrumbs, Broccoli, Corn, Bell Peppers, Mushrooms",BBQ
2-10,2024-08-02,Brisket,Pepper Jack,NA,"Tomatoes, Onions, Corn, Bell Peppers, Parmesan",BBQ
2-12,2024-08-02,"Pulled Pork, Bacon",MIX,Cheesy Garlic Bread,Breadcrumbs,Hot Honey
2-11,2024-08-02,"Grilled Chicken, Bacon",MIX,NA,"Breadcrumbs, Parmesan","Buffalo, Garlic Parmesan"
2-13,2024-08-02,Grilled Chicken,Cheddar,NA,"Broccoli, Corn",NA
2-15,2024-08-02,"Pulled Pork, Bacon","MIX, Cheddar",NA,"Breadcrumbs, Jalapenos, Broccoli","Garlic Parmesan, Hot Honey, BBQ"
2-16,2024-08-02,NA,Cheddar,NA,Parmesan,NA
2-18,2024-08-02,Brisket,Cheddar,NA,"Onions, Breadcrumbs, Corn, Bell Peppers, Mushrooms","Buffalo, Garlic Parmesan"
2-17,2024-08-02,Brisket,Alfredo,NA,"Breadcrumbs, Bell Peppers, Corn, Onions",Garlic Parmesan
2-19,2024-08-02,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",Ranch
2-21,2024-08-02,Grilled Chicken,Pepper Jack,NA,"Jalapenos, Mushrooms, Broccoli, Corn, Bell Peppers, Onions","Buffalo, Ranch"
2-20,2024-08-02,Grilled Chicken,"Alfredo, Cheddar",NA,"Tomatoes, Parmesan, Broccoli, Corn, Mushrooms",Garlic Parmesan
2-22,2024-08-02,Brisket,MIX,NA,Breadcrumbs,BBQ
2-23,2024-08-02,"Brisket, Bacon",MIX,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",BBQ
2-24,2024-08-02,Grilled Chicken,Cheddar,Cheesy Garlic Bread,NA,NA
2-25,2024-08-02,Brisket,MIX,NA,"Tomatoes, Parmesan, Jalapenos, Mushrooms, Breadcrumbs, Broccoli, Corn, Bell Peppers, Onions","Garlic Parmesan, BBQ, Pesto"
2-26,2024-08-02,Grilled Chicken,Alfredo,NA,"Mushrooms, Parmesan, Broccoli, Onions",Garlic Parmesan
2-27,2024-08-02,Brisket,Pepper Jack,NA,"Onions, Jalapenos, Parmesan, Corn, Bell Peppers, Mushrooms","Garlic Parmesan, BBQ"
2-29,2024-08-02,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Tomatoes, Parmesan","Garlic Parmesan, Pesto"
2-30,2024-08-02,"Brisket, Bacon","Pepper Jack, Melted Cheddar, Cheddar",Cheesy Garlic Bread,"Mushrooms, Jalapenos, Tomatoes, Onions","Buffalo, Ranch, Garlic Parmesan, BBQ"
2-31,2024-08-02,Grilled Chicken,"Melted Pepper Jack, Cheddar Mac, Cheddar","Garlic Bread, Cheesy Garlic Bread",Broccoli,Garlic Parmesan
2-32,2024-08-02,NA,Cheddar,Cheesy Garlic Bread,"Onions, Breadcrumbs, Broccoli, Corn, Parmesan","Garlic Parmesan, BBQ"
2-33,2024-08-02,"Grilled Chicken, Bacon",MIX,NA,"Bell Peppers, Onions",Garlic Parmesan
2-34,2024-08-02,Grilled Chicken,Cheddar,NA,Onions,"Buffalo, Hot Honey"
2-35,2024-08-02,Pulled Pork,Pepper Jack,Cheesecake,"Breadcrumbs, Jalapenos, Corn, Parmesan",Buffalo
2-36,2024-08-02,"Brisket, Bacon",Cheddar,NA,"Breadcrumbs, Jalapenos, Parmesan",Garlic Parmesan
2-37,2024-08-02,"Pulled Pork, Brisket, Bacon",Alfredo,NA,Parmesan,BBQ
2-39,2024-08-02,Grilled Chicken,Pepper Jack,NA,"Tomatoes, Onions, Jalapenos, Bell Peppers, Parmesan","Buffalo, Garlic Parmesan"
2-40,2024-08-02,NA,MIX,Cheesy Garlic Bread,"Breadcrumbs, Jalapenos, Mushrooms",Garlic Parmesan
2-42,2024-08-02,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
2-43,2024-08-02,Grilled Chicken,Alfredo,NA,"Parmesan, Bell Peppers, Mushrooms",NA
2-44,2024-08-02,"Brisket, Bacon","Alfredo, Pepper Jack",NA,"Tomatoes, Parmesan, Onions, Broccoli, Mushrooms","Buffalo, Garlic Parmesan"
2-45,2024-08-02,Bacon,Pepper Jack,NA,"Onions, Jalapenos, Breadcrumbs, Bell Peppers, Parmesan",Ranch
2-46,2024-08-02,Brisket,Pepper Jack,NA,"Tomatoes, Mushrooms, Breadcrumbs, Bell Peppers, Parmesan","Garlic Parmesan, Pesto"
2-47,2024-08-02,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Jalapenos, Bell Peppers, Onions",Hot Honey
2-48,2024-08-02,Bacon,Cheddar,NA,Parmesan,BBQ
2-49,2024-08-02,"Pulled Pork, Brisket",Alfredo,NA,Broccoli,BBQ
2-50,2024-08-02,"Grilled Chicken, Bacon",Cheddar,NA,"Mushrooms, Breadcrumbs, Broccoli, Corn, Parmesan",Garlic Parmesan
2-51,2024-08-02,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs, Onions",Garlic Parmesan
2-53,2024-08-02,Brisket,"Melted Cheddar, Cheddar",Lays Classic,Parmesan,Ranch
2-54,2024-08-02,"Pulled Pork, Brisket",Cheddar,NA,"Tomatoes, Parmesan, Mushrooms, Broccoli, Corn, Bell Peppers, Onions",Hot Honey
2-52,2024-08-02,"Pulled Pork, Brisket, Bacon","Melted Pepper Jack, Pepper Jack, Alfredo","Garlic Bread, Cheesy Garlic Bread","Parmesan, Breadcrumbs, Tomatoes, Mushrooms","Garlic Parmesan, Pesto"
2-55,2024-08-02,Brisket,Pepper Jack,NA,"Jalapenos, Parmesan","Buffalo, Garlic Parmesan"
2-56,2024-08-02,Grilled Chicken,Cheddar,Lays Barbecue,"Breadcrumbs, Corn, Parmesan",Garlic Parmesan
2-57,2024-08-02,Brisket,Cheddar,Cheesy Garlic Bread,Jalapenos,NA
2-59,2024-08-02,Grilled Chicken,MIX,NA,"Breadcrumbs, Broccoli, Corn, Parmesan",Garlic Parmesan
3-2,2024-08-03,Grilled Chicken,Alfredo,"Cheesy Garlic Bread, Cheesecake","Breadcrumbs, Broccoli, Corn, Parmesan",Garlic Parmesan
3-4,2024-08-03,Grilled Chicken,Cheddar,NA,Mushrooms,Buffalo
3-6,2024-08-03,"Grilled Chicken, Pulled Pork","Alfredo, MIX",NA,"Breadcrumbs, Broccoli, Corn, Parmesan","Ranch, BBQ"
3-7,2024-08-03,"Grilled Chicken, Brisket, Bacon",MIX,Cheesecake,"Onions, Jalapenos, Breadcrumbs, Broccoli, Bell Peppers, Parmesan","Garlic Parmesan, BBQ"
3-8,2024-08-03,"Grilled Chicken, Brisket, Bacon","Melted Cheddar, Cheddar","Side Mac, Garlic Bread",Corn,"Ranch, BBQ"
3-9,2024-08-03,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Corn",BBQ
3-10,2024-08-03,"Grilled Chicken, Bacon","MIX, Cheddar",NA,"Tomatoes, Parmesan, Onions, Breadcrumbs, Mushrooms","Buffalo, Ranch, Garlic Parmesan"
3-11,2024-08-03,Brisket,Cheddar,Cheesy Garlic Bread,"Corn, Parmesan",Garlic Parmesan
3-12,2024-08-03,"Brisket, Bacon",Cheddar,NA,Corn,"Ranch, Garlic Parmesan"
3-13,2024-08-03,Brisket,Cheddar,Cheesy Garlic Bread,Bell Peppers,BBQ
3-15,2024-08-03,Bacon,"Alfredo, Cheddar",Cheesy Garlic Bread,"Broccoli, Mushrooms","Ranch, Garlic Parmesan"
3-16,2024-08-03,NA,MIX,NA,"Tomatoes, Parmesan, Jalapenos, Mushrooms, Breadcrumbs, Broccoli, Corn, Bell Peppers, Onions",Pesto
3-17,2024-08-03,Grilled Chicken,Pepper Jack,NA,"Breadcrumbs, Bell Peppers, Tomatoes, Parmesan","Buffalo, Ranch"
3-18,2024-08-03,Brisket,Alfredo,Garlic Bread,"Parmesan, Breadcrumbs, Broccoli, Onions","Garlic Parmesan, Pesto"
3-20,2024-08-03,Grilled Chicken,MIX,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
3-22,2024-08-03,Grilled Chicken,"Pepper Jack, Cheddar",Any Bag Of Chips,"Parmesan, Breadcrumbs, Onions","Buffalo, Ranch"
3-23,2024-08-03,Brisket,Pepper Jack,NA,NA,BBQ
3-21,2024-08-03,"Grilled Chicken, Brisket","MIX, Cheddar","Garlic Bread, Cheesy Garlic Bread","Tomatoes, Breadcrumbs, Broccoli, Corn, Mushrooms","Hot Honey, Pesto"
3-24,2024-08-03,Grilled Chicken,Cheddar,NA,"Parmesan, Tomatoes, Onions",Ranch
3-25,2024-08-03,Brisket,Cheddar,Garlic Bread,"Breadcrumbs, Corn, Parmesan",BBQ
3-28,2024-08-03,Bacon,"MIX, Cheddar",Cheesy Garlic Bread,"Onions, Jalapenos, Mushrooms, Breadcrumbs, Broccoli, Parmesan","Buffalo, Garlic Parmesan"
3-29,2024-08-03,Brisket,MIX,Cheesy Garlic Bread,NA,NA
3-30,2024-08-03,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,Parmesan,Garlic Parmesan
3-31,2024-08-03,"Brisket, Bacon",MIX,Cheesy Garlic Bread,"Parmesan, Jalapenos, Onions",Garlic Parmesan
3-32,2024-08-03,Grilled Chicken,MIX,Cheesy Garlic Bread,"Breadcrumbs, Jalapenos, Corn",Garlic Parmesan
3-33,2024-08-03,Bacon,Alfredo,NA,"Mushrooms, Breadcrumbs, Broccoli, Corn, Parmesan",Pesto
3-35,2024-08-03,"Grilled Chicken, Brisket","Pepper Jack, Cheddar",NA,"Breadcrumbs, Tomatoes, Broccoli",Garlic Parmesan
3-34,2024-08-03,Brisket,"Melted Pepper Jack, MIX",Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
3-36,2024-08-03,Brisket,Cheddar,NA,NA,NA
3-37,2024-08-03,"Grilled Chicken, Brisket, Bacon",MIX,NA,"Parmesan, Breadcrumbs, Mushrooms","Buffalo, Ranch"
3-38,2024-08-03,"Brisket, Bacon",Cheddar,NA,"Tomatoes, Onions, Jalapenos, Breadcrumbs, Corn, Parmesan",BBQ
3-40,2024-08-03,Bacon,Cheddar,"Side Mac, Garlic Bread",Breadcrumbs,Garlic Parmesan
3-42,2024-08-03,"Brisket, Bacon",Cheddar,NA,"Parmesan, Breadcrumbs, Broccoli, Corn, Bell Peppers, Onions",NA
3-45,2024-08-03,Ham,Cheddar,NA,"Breadcrumbs, Parmesan","Ranch, Garlic Parmesan"
3-46,2024-08-03,"Grilled Chicken, Brisket",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",NA
3-44,2024-08-03,"Grilled Chicken, Bacon",Alfredo,NA,Parmesan,Ranch
3-48,2024-08-03,Pulled Pork,Cheddar,NA,"Broccoli, Parmesan",NA
3-47,2024-08-03,"Brisket, Bacon","Alfredo, Cheddar","Side Mac, Garlic Bread",Breadcrumbs,"Garlic Parmesan, Pesto"
3-50,2024-08-03,Grilled Chicken,"Pepper Jack, Melted Cheddar",NA,Broccoli,Pesto
3-49,2024-08-03,"Grilled Chicken, Brisket","Alfredo, MIX","Cheesy Garlic Bread, Cheesecake","Tomatoes, Onions, Jalapenos, Breadcrumbs, Broccoli, Bell Peppers, Parmesan","Garlic Parmesan, Pesto"
3-52,2024-08-03,"Grilled Chicken, Bacon",MIX,NA,"Tomatoes, Onions, Jalapenos, Bell Peppers, Parmesan","Ranch, Garlic Parmesan"
3-53,2024-08-03,NA,"Pepper Jack, MIX",Garlic Bread,"Onions, Jalapenos, Broccoli, Corn, Parmesan","Garlic Parmesan, Hot Honey, Pesto"
3-54,2024-08-03,Brisket,Cheddar,NA,Breadcrumbs,Garlic Parmesan
3-55,2024-08-03,Brisket,MIX,NA,"Broccoli, Parmesan",Ranch
3-56,2024-08-03,Brisket,Cheddar,NA,Breadcrumbs,Hot Honey
3-58,2024-08-03,"Brisket, Bacon",MIX,NA,"Breadcrumbs, Parmesan",NA
3-57,2024-08-03,Brisket,MIX,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",NA
3-61,2024-08-03,"Brisket, Bacon",MIX,Cheesy Garlic Bread,"Onions, Parmesan, Breadcrumbs, Corn, Bell Peppers, Mushrooms","Ranch, Garlic Parmesan, BBQ"
3-62,2024-08-03,Pulled Pork,"Cheddar Mac, Melted Cheddar",NA,NA,BBQ
3-64,2024-08-03,"Grilled Chicken, Brisket",MIX,NA,"Breadcrumbs, Parmesan",Garlic Parmesan
3-65,2024-08-03,Grilled Chicken,MIX,NA,"Onions, Breadcrumbs, Corn, Bell Peppers, Parmesan",Garlic Parmesan
3-66,2024-08-03,"Grilled Chicken, Pulled Pork",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Tomatoes, Broccoli, Onions","Buffalo, Ranch, BBQ"
3-67,2024-08-03,Brisket,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Corn, Onions","Ranch, Garlic Parmesan, Pesto"
3-70,2024-08-03,Brisket,Cheddar,NA,Breadcrumbs,BBQ
3-69,2024-08-03,Pulled Pork,Cheddar,Garlic Bread,Breadcrumbs,BBQ
3-68,2024-08-03,Brisket,Cheddar,Garlic Bread,"Breadcrumbs, Bell Peppers","Ranch, BBQ"
3-71,2024-08-03,Grilled Chicken,Alfredo,NA,"Bell Peppers, Broccoli, Parmesan",NA
3-73,2024-08-03,Grilled Chicken,"Cheddar Mac, Melted Cheddar",Cheesy Garlic Bread,NA,NA
3-75,2024-08-03,Pulled Pork,Cheddar,NA,"Mushrooms, Breadcrumbs, Broccoli, Corn, Parmesan",Garlic Parmesan
3-76,2024-08-03,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Corn, Parmesan",BBQ
3-74,2024-08-03,"Pulled Pork, Bacon","Alfredo, Cheddar Mac, Melted Cheddar",NA,"Onions, Jalapenos, Mushrooms","Garlic Parmesan, Hot Honey"
3-77,2024-08-03,"Grilled Chicken, Pulled Pork","Alfredo, Cheddar","Garlic Bread, Cheesy Garlic Bread","Breadcrumbs, Broccoli, Parmesan","Garlic Parmesan, Pesto"
3-78,2024-08-03,Brisket,"MIX, Cheddar",NA,Corn,NA
3-79,2024-08-03,Grilled Chicken,MIX,NA,"Corn, Parmesan","Ranch, Garlic Parmesan"
3-80,2024-08-03,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,Parmesan,BBQ
3-81,2024-08-03,NA,"Melted Pepper Jack, Alfredo Mac",Cheesy Garlic Bread,"Bell Peppers, Corn, Mushrooms",Pesto
3-82,2024-08-03,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",BBQ
3-83,2024-08-03,Bacon,Cheddar,NA,NA,NA
3-84,2024-08-03,NA,NA,"Side Mac, Cheesecake",NA,NA
5-1,2024-08-05,"Brisket, Bacon",MIX,NA,Corn,"Buffalo, Ranch"
5-4,2024-08-05,"Grilled Chicken, Brisket","Pepper Jack, MIX","Garlic Bread, Any Bag Of Chips, Cheesy Garlic Bread","Breadcrumbs, Jalapenos, Tomatoes, Broccoli",Buffalo
5-5,2024-08-05,"Grilled Chicken, Bacon",Cheddar,NA,"Broccoli, Parmesan","Ranch, Garlic Parmesan"
5-8,2024-08-05,"Pulled Pork, Bacon","Pepper Jack, Cheddar",Cheesy Garlic Bread,"Onions, Jalapenos, Breadcrumbs, Corn, Bell Peppers, Parmesan","Buffalo, BBQ"
5-7,2024-08-05,"Grilled Chicken, Bacon",Cheddar,NA,"Broccoli, Parmesan","Ranch, Garlic Parmesan"
5-13,2024-08-05,Grilled Chicken,MIX,Cheesy Garlic Bread,"Breadcrumbs, Broccoli, Parmesan",Pesto
5-11,2024-08-05,"Grilled Chicken, Pulled Pork",MIX,NA,"Bell Peppers, Tomatoes, Onions","Ranch, BBQ"
5-9,2024-08-05,"Grilled Chicken, Brisket",MIX,NA,Jalapenos,"Ranch, Hot Honey"
5-10,2024-08-05,"Pulled Pork, Brisket",MIX,NA,"Jalapenos, Tomatoes, Corn, Onions",BBQ
5-14,2024-08-05,Bacon,"Melted Pepper Jack, Cheddar Mac",NA,"Mushrooms, Jalapenos, Corn, Onions",Garlic Parmesan
5-15,2024-08-05,"Pulled Pork, Brisket",MIX,NA,"Parmesan, Breadcrumbs, Mushrooms","Hot Honey, BBQ"
5-16,2024-08-05,"Pulled Pork, Brisket","MIX, Cheddar",Garlic Bread,"Parmesan, Breadcrumbs, Corn, Onions","Buffalo, Ranch"
5-17,2024-08-05,"Grilled Chicken, Brisket, Bacon",MIX,Cheesy Garlic Bread,"Parmesan, Jalapenos, Breadcrumbs, Onions","Hot Honey, BBQ"
5-18,2024-08-05,Bacon,Cheddar,NA,"Onions, Jalapenos, Breadcrumbs, Broccoli, Bell Peppers, Parmesan",Ranch
5-19,2024-08-05,Grilled Chicken,Alfredo,NA,"Broccoli, Mushrooms",Buffalo
5-20,2024-08-05,"Grilled Chicken, Pulled Pork, Bacon","MIX, Cheddar",NA,"Mushrooms, Breadcrumbs, Corn, Parmesan",BBQ
5-21,2024-08-05,NA,Pepper Jack,Garlic Bread,"Tomatoes, Parmesan, Jalapenos, Mushrooms, Breadcrumbs, Broccoli, Corn, Onions","Buffalo, Garlic Parmesan, BBQ, Pesto"
5-22,2024-08-05,Brisket,Cheddar,Side Mac,Parmesan,NA
5-23,2024-08-05,Brisket,Cheddar,NA,"Broccoli, Mushrooms",NA
5-24,2024-08-05,NA,MIX,NA,"Mushrooms, Parmesan, Breadcrumbs, Onions","Garlic Parmesan, Hot Honey"
5-25,2024-08-05,Brisket,Cheddar,NA,"Jalapenos, Broccoli, Onions",Garlic Parmesan
5-27,2024-08-05,Brisket,Pepper Jack,NA,"Mushrooms, Breadcrumbs, Bell Peppers, Onions",BBQ
5-30,2024-08-05,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Tomatoes, Parmesan, Jalapenos, Breadcrumbs, Broccoli, Corn, Bell Peppers, Onions","Buffalo, Garlic Parmesan, Hot Honey, Pesto"
5-28,2024-08-05,"Grilled Chicken, Ham",MIXED Melted Cheese,Side Mac,Breadcrumbs,"Ranch, Hot Honey"
5-33,2024-08-05,"Pulled Pork, Brisket",Cheddar,NA,"Broccoli, Corn",BBQ
5-32,2024-08-05,Bacon,Cheddar,Cheesecake,"Corn, Onions",Garlic Parmesan
5-31,2024-08-05,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Broccoli, Onions",Garlic Parmesan
5-37,2024-08-05,Brisket,Pepper Jack,NA,"Breadcrumbs, Bell Peppers, Onions",Garlic Parmesan
5-34,2024-08-05,Bacon,MIX,Garlic Bread,"Broccoli, Onions",Garlic Parmesan
5-36,2024-08-05,Brisket,MIX,NA,NA,NA
5-35,2024-08-05,Grilled Chicken,MIX,Garlic Bread,Corn,"Ranch, Garlic Parmesan"
5-40,2024-08-05,Grilled Chicken,"Alfredo Mac, Melted Cheddar",NA,NA,NA
5-38,2024-08-05,Grilled Chicken,MIX,NA,"Breadcrumbs, Bell Peppers",Garlic Parmesan
5-41,2024-08-05,Brisket,Pepper Jack,NA,"Jalapenos, Bell Peppers, Parmesan",BBQ
5-42,2024-08-05,Bacon,Alfredo,NA,"Breadcrumbs, Tomatoes, Broccoli, Parmesan",NA
5-43,2024-08-05,Grilled Chicken,"Melted Cheddar, Cheddar","Cheetos, Doritos",Parmesan,NA
5-44,2024-08-05,NA,Pepper Jack,NA,"Tomatoes, Parmesan, Mushrooms, Breadcrumbs, Broccoli, Corn, Bell Peppers, Onions","Garlic Parmesan, Pesto"
5-47,2024-08-05,Grilled Chicken,MIX,NA,"Parmesan, Breadcrumbs, Broccoli, Onions","Buffalo, Ranch"
5-46,2024-08-05,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs, Broccoli, Mushrooms","Ranch, Garlic Parmesan"
5-45,2024-08-05,Grilled Chicken,Cheddar,Garlic Bread,"Breadcrumbs, Corn, Parmesan",NA
5-48,2024-08-05,Brisket,Pepper Jack,Cheesy Garlic Bread,Parmesan,NA
5-50,2024-08-05,"Grilled Chicken, Bacon","Pepper Jack, MIX","Any Bag Of Chips, Cheesy Garlic Bread","Tomatoes, Jalapenos, Mushrooms, Breadcrumbs, Bell Peppers, Parmesan",NA
