order number,date,meat,cheese,sides,toppings,sauce
1-28,2024-09-01,"Bacon, Pulled Pork, Brisket","Pepper Jack, MIX",NA,"Pineapple, Corn, Bell Peppers, Parmesan, Breadcrumbs, Tomatoes","Garlic Parmesan, BBQ, Hot Honey"
1-29,2024-09-01,"Brisket, Grilled Chicken","MIX, Cheddar",Cheesy Garlic Bread,"Onions, Pineapple, Parmesan, Mushrooms, Bell Peppers, Jalapenos","Garlic Parmesan, Hot Honey, Pesto"
1-31,2024-09-01,NA,Cheddar,NA,Parmesan,NA
1-30,2024-09-01,NA,Cheddar,Garlic Bread,NA,NA
1-33,2024-09-01,Brisket,Cheddar,NA,"Parmesan, Bell Peppers, Breadcrumbs, Jalapenos","Hot Honey, Ranch"
1-32,2024-09-01,NA,Melted Cheddar,"Large Chocolate Chunk Cookie, Any Bag Of Chips",NA,NA
1-36,2024-09-01,Brisket,Cheddar,NA,"Onions, Corn, Breadcrumbs, Tomatoes, Jalapenos",Hot Honey
1-37,2024-09-01,Brisket,Cheddar,NA,"Onions, Parmesan, Breadcrumbs, Tomatoes, Jalapenos","Garlic Parmesan, Hot Honey, Ranch"
1-35,2024-09-01,"Brisket, Grilled Chicken",MIX,Cheesy Garlic Bread,"Broccoli, Onions, Pineapple, Corn, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes","Garlic Parmesan, Hot Honey, Ranch"
1-34,2024-09-01,Brisket,MIX,NA,"Mushrooms, Tomatoes, Breadcrumbs",Ranch
1-38,2024-09-01,Pulled Pork,Cheddar,Cheesy Garlic Bread,"Onions, Parmesan, Breadcrumbs, Mushrooms, Bell Peppers",Hot Honey
1-41,2024-09-01,"Bacon, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Broccoli, Parmesan, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos",Garlic Parmesan
1-39,2024-09-01,"Bacon, Brisket","Alfredo, MIX",Cheesy Garlic Bread,"Mushrooms, Tomatoes, Breadcrumbs, Parmesan","Garlic Parmesan, Ranch, Pesto"
1-42,2024-09-01,Grilled Chicken,Cheddar,NA,Parmesan,Buffalo
1-40,2024-09-01,"Bacon, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Garlic Parmesan, Ranch"
1-43,2024-09-01,"Bacon, Brisket",Pepper Jack,Cheesy Garlic Bread,Onions,BBQ
1-45,2024-09-01,"Pulled Pork, Brisket",Cheddar,"Cheesy Garlic Bread, Garlic Bread","Breadcrumbs, Corn",BBQ
1-46,2024-09-01,Bacon,Cheddar,NA,"Breadcrumbs, Parmesan",Buffalo
1-47,2024-09-01,NA,Cheddar,NA,Breadcrumbs,NA
1-44,2024-09-01,"Bacon, Brisket","Alfredo, Pepper Jack, Cheddar",NA,"Parmesan, Breadcrumbs, Mushrooms, Bell Peppers, Tomatoes, Jalapenos",Hot Honey
1-49,2024-09-01,"Pulled Pork, Brisket",MIX,NA,"Onions, Corn, Parmesan, Mushrooms, Jalapenos",Ranch
1-51,2024-09-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Buffalo
1-50,2024-09-01,Grilled Chicken,Cheddar,Any Bag Of Chips,NA,Pesto
1-52,2024-09-01,NA,"Cheddar Mac, Melted Cheddar",NA,NA,Garlic Parmesan
1-53,2024-09-01,NA,"Cheddar Mac, Melted Cheddar",NA,NA,NA
1-54,2024-09-01,Ham,Melted Cheddar,NA,NA,NA
1-55,2024-09-01,Brisket,MIX,Cheesy Garlic Bread,"Broccoli, Breadcrumbs",Garlic Parmesan
1-57,2024-09-01,"Bacon, Ham",Alfredo,Cheesy Garlic Bread,NA,BBQ
1-56,2024-09-01,Bacon,Cheddar,NA,Parmesan,Garlic Parmesan
1-58,2024-09-01,Bacon,"Melted Pepper Jack, Alfredo Mac",Side Mac,NA,"BBQ, Ranch"
1-60,2024-09-01,Brisket,Alfredo,NA,"Breadcrumbs, Parmesan",BBQ
1-59,2024-09-01,"Bacon, Brisket",MIX,Garlic Bread,"Broccoli, Onions, Corn, Parmesan, Breadcrumbs","Garlic Parmesan, Hot Honey"
1-61,2024-09-01,"Bacon, Pulled Pork, Brisket","Cheddar Mac, Melted Cheddar, Cheddar",Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Parmesan","Garlic Parmesan, BBQ"
1-62,2024-09-01,Brisket,Cheddar,NA,"Parmesan, Tomatoes, Onions",BBQ
1-63,2024-09-01,Bacon,Cheddar,Cheesy Garlic Bread,NA,NA
1-64,2024-09-01,Grilled Chicken,Cheddar,NA,"Tomatoes, Breadcrumbs, Parmesan","Garlic Parmesan, Pesto"
1-65,2024-09-01,Brisket,Cheddar,Garlic Bread,"Bell Peppers, Breadcrumbs, Onions",Garlic Parmesan
1-66,2024-09-01,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Parmesan","BBQ, Ranch"
1-67,2024-09-01,Grilled Chicken,"Cheddar Mac, Melted Pepper Jack, Cheddar",Cheesy Garlic Bread,"Tomatoes, Breadcrumbs, Parmesan",Garlic Parmesan
1-68,2024-09-01,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-69,2024-09-01,Grilled Chicken,Cheddar,NA,Parmesan,Buffalo
1-70,2024-09-01,Brisket,Cheddar,NA,NA,BBQ
1-71,2024-09-01,Bacon,Cheddar,Cheesy Garlic Bread,"Broccoli, Breadcrumbs, Parmesan",BBQ
1-72,2024-09-01,Grilled Chicken,Cheddar,NA,"Onions, Corn, Bell Peppers, Mushrooms, Tomatoes","Garlic Parmesan, Pesto"
1-74,2024-09-01,NA,Cheddar,NA,"Tomatoes, Onions",Pesto
1-75,2024-09-01,Bacon,"Alfredo, Cheddar",Garlic Bread,"Jalapenos, Parmesan, Breadcrumbs, Onions",Garlic Parmesan
1-76,2024-09-01,Grilled Chicken,"Alfredo, Cheddar",Garlic Bread,"Corn, Bell Peppers, Parmesan, Breadcrumbs, Tomatoes","Garlic Parmesan, Pesto"
1-79,2024-09-01,Grilled Chicken,Cheddar,Any Bag Of Chips,"Breadcrumbs, Parmesan",NA
1-78,2024-09-01,Grilled Chicken,MIX,NA,"Breadcrumbs, Parmesan","Garlic Parmesan, Pesto"
1-80,2024-09-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-81,2024-09-01,Grilled Chicken,Alfredo,NA,"Mushrooms, Parmesan, Corn, Onions",Garlic Parmesan
1-82,2024-09-01,"Brisket, Grilled Chicken","Alfredo, Cheddar",Cheesy Garlic Bread,"Parmesan, Broccoli, Breadcrumbs, Onions","Pesto, Buffalo, BBQ, Hot Honey, Ranch"
1-83,2024-09-01,"Bacon, Ham, Brisket","Alfredo, Cheddar",Cheesy Garlic Bread,"Broccoli, Onions, Corn, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos","Garlic Parmesan, Ranch"
1-85,2024-09-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,Parmesan,Garlic Parmesan
1-86,2024-09-01,Grilled Chicken,MIX,NA,"Jalapenos, Tomatoes, Onions","Buffalo, Ranch"
1-87,2024-09-01,Grilled Chicken,Cheddar,Garlic Bread,Jalapenos,NA
1-89,2024-09-01,Brisket,Cheddar,"Cheesy Garlic Bread, Large Chocolate Chunk Cookie","Breadcrumbs, Corn, Parmesan","Garlic Parmesan, BBQ"
1-90,2024-09-01,Brisket,Cheddar,Cheesy Garlic Bread,Parmesan,Ranch
1-91,2024-09-01,Ham,MIX,NA,"Parmesan, Onions",Ranch
1-93,2024-09-01,Pulled Pork,Pepper Jack,NA,"Breadcrumbs, Parmesan",Ranch
1-92,2024-09-01,Grilled Chicken,Cheddar,Cheesecake,"Broccoli, Corn",Hot Honey
1-96,2024-09-01,Pulled Pork,Pepper Jack,NA,"Breadcrumbs, Corn, Jalapenos",BBQ
1-95,2024-09-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Onions, Corn, Parmesan, Mushrooms, Jalapenos","Garlic Parmesan, BBQ"
1-97,2024-09-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Broccoli, Tomatoes, Parmesan","Garlic Parmesan, Pesto"
1-99,2024-09-01,Bacon,MIX,NA,Onions,BBQ
1-98,2024-09-01,"Bacon, Brisket, Grilled Chicken",MIX,"Cheesy Garlic Bread, Garlic Bread","Parmesan, Jalapenos, Corn, Onions","Garlic Parmesan, BBQ"
1-100,2024-09-01,"Bacon, Pulled Pork, Brisket","Pepper Jack Mac, MIX, Melted Pepper Jack",NA,"Parmesan, Breadcrumbs, Jalapenos","BBQ, Hot Honey"
1-101,2024-09-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Jalapenos",Garlic Parmesan
1-102,2024-09-01,Bacon,Melted Pepper Jack,NA,Jalapenos,"Hot Honey, Buffalo"
1-105,2024-09-01,"Ham, Grilled Chicken",Cheddar,Large Chocolate Chunk Cookie,NA,NA
1-104,2024-09-01,"Bacon, Brisket",Pepper Jack,Cheesy Garlic Bread,NA,NA
1-106,2024-09-01,Brisket,MIX,Cheesy Garlic Bread,"Pineapple, Breadcrumbs, Parmesan",NA
1-107,2024-09-01,"Bacon, Grilled Chicken","MIX, Cheddar",Cheesy Garlic Bread,"Onions, Corn, Bell Peppers, Breadcrumbs, Tomatoes","Garlic Parmesan, BBQ, Ranch"
1-108,2024-09-01,Brisket,Cheddar,Garlic Bread,Breadcrumbs,BBQ
1-110,2024-09-01,Brisket,"Cheddar Mac, Melted Pepper Jack",Cheesy Garlic Bread,NA,BBQ
1-109,2024-09-01,"Ham, Grilled Chicken",Pepper Jack,NA,"Onions, Corn, Parmesan, Breadcrumbs, Jalapenos","Hot Honey, Buffalo, Ranch"
1-112,2024-09-01,Grilled Chicken,Alfredo,NA,"Broccoli, Onions, Corn, Bell Peppers, Mushrooms, Tomatoes, Jalapenos","Garlic Parmesan, Pesto, Ranch"
1-115,2024-09-01,NA,Alfredo,NA,"Broccoli, Onions, Corn, Parmesan, Breadcrumbs",Pesto
1-116,2024-09-01,NA,Alfredo,NA,"Jalapenos, Tomatoes, Onions","BBQ, Hot Honey"
1-113,2024-09-01,NA,Cheddar,NA,Corn,Buffalo
1-114,2024-09-01,NA,Cheddar,NA,NA,Hot Honey
1-117,2024-09-01,"Pulled Pork, Brisket",Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Corn, Parmesan","Garlic Parmesan, Ranch"
1-119,2024-09-01,NA,Melted Cheddar,NA,NA,NA
1-118,2024-09-01,NA,Cheddar,NA,Parmesan,NA
1-120,2024-09-01,Grilled Chicken,"MIX, Cheddar",NA,"Broccoli, Onions, Corn, Breadcrumbs, Mushrooms, Jalapenos",Buffalo
1-121,2024-09-01,Grilled Chicken,Pepper Jack,NA,"Corn, Parmesan, Breadcrumbs, Mushrooms, Jalapenos",Garlic Parmesan
1-123,2024-09-01,Bacon,"Melted Pepper Jack, Alfredo Mac",NA,"Mushrooms, Onions",Garlic Parmesan
1-124,2024-09-01,NA,NA,Cheesecake,NA,NA
1-125,2024-09-01,NA,NA,Cheesecake,NA,NA
1-130,2024-09-01,NA,NA,Cheesecake,NA,NA
1-132,2024-09-01,Bacon,"Cheddar Mac, Melted Pepper Jack",Side Mac,Parmesan,Ranch
1-133,2024-09-01,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs, Jalapenos","Garlic Parmesan, Hot Honey, Pesto, Ranch"
1-126,2024-09-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",BBQ
1-127,2024-09-01,Brisket,Cheddar,NA,"Broccoli, Parmesan",Garlic Parmesan
1-129,2024-09-01,Brisket,Cheddar,NA,Parmesan,BBQ
1-128,2024-09-01,Brisket,Cheddar,NA,Breadcrumbs,Buffalo
1-134,2024-09-01,Bacon,Cheddar,NA,Breadcrumbs,Garlic Parmesan
1-136,2024-09-01,"Bacon, Grilled Chicken",MIX,NA,Parmesan,Ranch
1-138,2024-09-01,"Bacon, Grilled Chicken",Cheddar,NA,Parmesan,Ranch
1-139,2024-09-01,Pulled Pork,Cheddar,NA,"Bell Peppers, Breadcrumbs",Hot Honey
1-140,2024-09-01,Bacon,MIX,Cheesy Garlic Bread,"Broccoli, Breadcrumbs, Parmesan",Garlic Parmesan
1-142,2024-09-01,Grilled Chicken,MIX,NA,"Jalapenos, Bell Peppers, Onions",Hot Honey
1-141,2024-09-01,Brisket,Cheddar,NA,Parmesan,Garlic Parmesan
1-143,2024-09-01,Brisket,Cheddar,Garlic Bread,"Mushrooms, Parmesan",BBQ
1-146,2024-09-01,Bacon,Cheddar,Any Bag Of Chips,Mushrooms,Ranch
1-147,2024-09-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Corn, Parmesan",Hot Honey
1-150,2024-09-01,Brisket,"Cheddar Mac, Melted Cheddar",NA,NA,Garlic Parmesan
1-149,2024-09-01,Grilled Chicken,Cheddar,NA,"Onions, Corn, Parmesan, Breadcrumbs, Jalapenos","Garlic Parmesan, Ranch"
1-148,2024-09-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",BBQ
1-151,2024-09-01,Grilled Chicken,"MIX, Cheddar",Large Chocolate Chunk Cookie,NA,Garlic Parmesan
1-152,2024-09-01,Brisket,Cheddar,NA,"Mushrooms, Broccoli, Breadcrumbs, Parmesan",Hot Honey
1-153,2024-09-01,NA,Cheddar,NA,NA,BBQ
1-154,2024-09-01,NA,Cheddar,Cheesy Garlic Bread,NA,NA
1-155,2024-09-01,Brisket,Cheddar,NA,"Mushrooms, Broccoli, Breadcrumbs, Corn",BBQ
1-156,2024-09-01,"Pulled Pork, Ham, Brisket",Cheddar,NA,"Broccoli, Onions, Pineapple, Corn, Parmesan, Breadcrumbs","BBQ, Ranch"
1-158,2024-09-01,"Pulled Pork, Grilled Chicken","Alfredo, Cheddar",NA,"Mushrooms, Breadcrumbs, Corn, Onions","BBQ, Ranch"
1-157,2024-09-01,"Bacon, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Parmesan, Tomatoes, Breadcrumbs, Bell Peppers","Buffalo, Ranch"
1-160,2024-09-01,Brisket,Cheddar,NA,NA,BBQ
1-161,2024-09-01,Bacon,Cheddar,NA,NA,Ranch
1-164,2024-09-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",BBQ
1-159,2024-09-01,"Bacon, Brisket, Grilled Chicken","Pepper Jack, MIX","Cheesy Garlic Bread, Garlic Bread","Broccoli, Onions, Corn, Parmesan, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos","Garlic Parmesan, Buffalo, Ranch"
1-162,2024-09-01,Brisket,"Pepper Jack, MIX",NA,"Onions, Breadcrumbs, Parmesan","Garlic Parmesan, BBQ, Buffalo"
1-166,2024-09-01,NA,NA,Side Mac,NA,NA
1-168,2024-09-01,NA,Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-167,2024-09-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Parmesan","Garlic Parmesan, Ranch"
1-169,2024-09-01,Pulled Pork,Cheddar,NA,"Parmesan, Corn, Onions",BBQ
1-170,2024-09-01,"Bacon, Grilled Chicken",Cheddar,NA,Parmesan,"Buffalo, Ranch"
1-172,2024-09-01,"Pulled Pork, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Broccoli, Corn, Parmesan, Mushrooms, Bell Peppers","Pesto, Ranch"
1-173,2024-09-01,Brisket,Cheddar,NA,"Broccoli, Onions, Parmesan, Bell Peppers, Jalapenos","BBQ, Buffalo"
1-174,2024-09-01,Grilled Chicken,Cheddar,Garlic Bread,"Broccoli, Onions, Pineapple, Corn, Mushrooms",BBQ
1-175,2024-09-01,NA,Cheddar,Garlic Bread,"Onions, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos",NA
1-176,2024-09-01,"Brisket, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Mushrooms, Broccoli, Tomatoes, Parmesan",Ranch
1-177,2024-09-01,NA,Cheddar,NA,"Broccoli, Onions, Corn, Parmesan, Breadcrumbs, Mushrooms, Jalapenos","Pesto, Ranch"
1-179,2024-09-01,Pulled Pork,Melted Cheddar,Side Mac,NA,Ranch
1-178,2024-09-01,Pulled Pork,Cheddar,Garlic Bread,"Pineapple, Corn, Onions",BBQ
1-180,2024-09-01,"Brisket, Grilled Chicken",Cheddar,Garlic Bread,"Parmesan, Bell Peppers, Breadcrumbs, Onions","BBQ, Pesto"
1-181,2024-09-01,Pulled Pork,Cheddar,NA,NA,BBQ
1-182,2024-09-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-183,2024-09-01,NA,Cheddar,Cheesy Garlic Bread,"Broccoli, Onions, Pineapple, Corn, Bell Peppers, Parmesan, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos","Pesto, Ranch"
1-184,2024-09-01,"Bacon, Brisket",Cheddar,NA,"Breadcrumbs, Parmesan",Buffalo
1-186,2024-09-01,NA,Cheddar,Large Chocolate Chunk Cookie,"Breadcrumbs, Parmesan",NA
1-185,2024-09-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Mushrooms, Breadcrumbs, Parmesan",Hot Honey
1-187,2024-09-01,NA,Cheddar,Cheesy Garlic Bread,"Onions, Corn, Parmesan, Breadcrumbs, Jalapenos",Pesto
1-189,2024-09-01,Brisket,Cheddar,Lays Barbecue,"Tomatoes, Parmesan",NA
1-188,2024-09-01,"Bacon, Pulled Pork, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Onions","BBQ, Hot Honey"
1-190,2024-09-01,Brisket,Cheddar,NA,"Broccoli, Onions, Pineapple, Corn, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos","Hot Honey, Buffalo"
1-191,2024-09-01,Bacon,Cheddar,Cheesy Garlic Bread,Parmesan,NA
1-192,2024-09-01,NA,Cheddar,NA,Parmesan,Ranch
1-193,2024-09-01,"Pulled Pork, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Broccoli, Onions, Corn, Parmesan, Breadcrumbs, Mushrooms","Buffalo, Ranch"
1-195,2024-09-01,"Bacon, Grilled Chicken",Cheddar,NA,"Corn, Breadcrumbs, Mushrooms, Bell Peppers, Jalapenos","Buffalo, Ranch"
1-196,2024-09-01,NA,Cheddar,NA,"Mushrooms, Tomatoes, Bell Peppers",NA
1-197,2024-09-01,Grilled Chicken,Cheddar,NA,"Parmesan, Bell Peppers, Breadcrumbs, Jalapenos","Hot Honey, Buffalo"
1-199,2024-09-01,Brisket,Cheddar,NA,"Parmesan, Jalapenos",NA
1-200,2024-09-01,Bacon,Cheddar,NA,Parmesan,"Buffalo, Ranch"
1-201,2024-09-01,NA,Cheddar,Garlic Bread,NA,"Buffalo, Ranch"
2-1,2024-09-02,Bacon,Melted Cheddar,Side Mac,Parmesan,NA
3-1,2024-09-03,Brisket,"Cheddar Mac, Melted Cheddar",NA,"Breadcrumbs, Parmesan",Ranch
3-3,2024-09-03,Bacon,Cheddar,NA,Breadcrumbs,NA
3-4,2024-09-03,Brisket,Cheddar,NA,Parmesan,BBQ
3-7,2024-09-03,NA,Cheddar,NA,"Mushrooms, Tomatoes, Bell Peppers",NA
3-8,2024-09-03,Bacon,MIX,NA,"Broccoli, Breadcrumbs, Parmesan",Ranch
3-9,2024-09-03,Bacon,Cheddar,NA,"Broccoli, Corn",NA
3-10,2024-09-03,NA,"Buffalo Chicken (Cheddar, Chicken, Onions, Buffalo)",NA,NA,NA
3-11,2024-09-03,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Corn, Parmesan","Garlic Parmesan, BBQ, Hot Honey"
3-12,2024-09-03,NA,Pepper Jack,NA,"Broccoli, Breadcrumbs, Jalapenos",Garlic Parmesan
3-13,2024-09-03,Grilled Chicken,MIX,Cheesy Garlic Bread,"Parmesan, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos",Hot Honey
3-14,2024-09-03,"Bacon, Ham, Grilled Chicken",Alfredo,Cheesy Garlic Bread,"Parmesan, Broccoli, Breadcrumbs, Jalapenos",Garlic Parmesan
3-17,2024-09-03,Brisket,MIX,NA,"Parmesan, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes, Jalapenos",BBQ
3-18,2024-09-03,"Brisket, Grilled Chicken",Pepper Jack,Cheesy Garlic Bread,"Mushrooms, Bell Peppers, Breadcrumbs, Parmesan",BBQ
3-15,2024-09-03,Bacon,Cheddar,Cheesy Garlic Bread,"Mushrooms, Breadcrumbs, Corn, Parmesan","BBQ, Ranch"
3-16,2024-09-03,Brisket,Alfredo,Garlic Bread,"Mushrooms, Corn",Garlic Parmesan
3-19,2024-09-03,Bacon,Cheddar,NA,"Tomatoes, Breadcrumbs, Bell Peppers",Hot Honey
3-20,2024-09-03,Brisket,Cheddar,NA,NA,NA
3-21,2024-09-03,Grilled Chicken,Cheddar,Garlic Bread,"Tomatoes, Breadcrumbs, Corn",BBQ
3-22,2024-09-03,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Pineapple, Tomatoes, Corn, Parmesan",BBQ
3-23,2024-09-03,Brisket,MIX,NA,"Broccoli, Corn, Parmesan, Bell Peppers, Breadcrumbs, Tomatoes",Buffalo
3-24,2024-09-03,Brisket,Melted Cheddar,NA,Mushrooms,BBQ
3-25,2024-09-03,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Broccoli, Breadcrumbs, Parmesan",Garlic Parmesan
3-27,2024-09-03,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Parmesan",Hot Honey
3-29,2024-09-03,Brisket,Pepper Jack,NA,"Broccoli, Corn, Bell Peppers, Breadcrumbs, Mushrooms, Tomatoes","Garlic Parmesan, BBQ"
3-28,2024-09-03,Brisket,MIX,NA,NA,Garlic Parmesan
3-26,2024-09-03,Pulled Pork,Cheddar,NA,"Mushrooms, Breadcrumbs, Parmesan",Hot Honey
3-33,2024-09-03,Brisket,Cheddar,NA,Parmesan,NA
3-31,2024-09-03,"Bacon, Grilled Chicken",Pepper Jack,NA,"Breadcrumbs, Parmesan","BBQ, Ranch"
3-32,2024-09-03,Pulled Pork,Melted Pepper Jack,Side Mac,"Parmesan, Breadcrumbs, Jalapenos",Garlic Parmesan
3-34,2024-09-03,Grilled Chicken,Cheddar,Cheesy Garlic Bread,Parmesan,Buffalo
3-35,2024-09-03,NA,Cheddar,NA,"Breadcrumbs, Parmesan",NA
3-36,2024-09-03,Brisket,Pepper Jack,NA,"Bell Peppers, Breadcrumbs",BBQ
3-39,2024-09-03,Grilled Chicken,Cheddar,NA,"Mushrooms, Breadcrumbs, Parmesan","Buffalo, Ranch"
3-40,2024-09-03,NA,MIX,Garlic Bread,"Mushrooms, Bell Peppers, Breadcrumbs, Parmesan","Garlic Parmesan, Hot Honey"
3-41,2024-09-03,Grilled Chicken,Alfredo,Cheesy Garlic Bread,NA,BBQ
3-42,2024-09-03,Bacon,Alfredo,NA,"Breadcrumbs, Parmesan",Buffalo
3-43,2024-09-03,NA,Cheddar,NA,"Broccoli, Breadcrumbs, Parmesan",Hot Honey
3-44,2024-09-03,Grilled Chicken,Alfredo,NA,"Mushrooms, Broccoli",Buffalo
3-45,2024-09-03,Brisket,Pepper Jack,NA,"Bell Peppers, Corn, Jalapenos",BBQ
3-46,2024-09-03,Bacon,Pepper Jack,Garlic Bread,"Broccoli, Breadcrumbs, Corn, Bell Peppers",Pesto
3-48,2024-09-03,Pulled Pork,Cheddar,NA,Corn,BBQ
3-47,2024-09-03,Ham,Cheddar,NA,"Bell Peppers, Breadcrumbs, Parmesan","Garlic Parmesan, BBQ, Hot Honey"
3-51,2024-09-03,Brisket,Cheddar,NA,"Bell Peppers, Breadcrumbs, Parmesan","BBQ, Ranch"
3-49,2024-09-03,NA,MIX,Cheesy Garlic Bread,"Broccoli, Pineapple, Corn, Bell Peppers, Parmesan, Breadcrumbs, Tomatoes","BBQ, Hot Honey, Pesto"
3-50,2024-09-03,Ham,Cheddar,NA,"Broccoli, Breadcrumbs",BBQ
3-52,2024-09-03,Pulled Pork,MIX,Cheesy Garlic Bread,"Mushrooms, Breadcrumbs, Parmesan",BBQ
3-53,2024-09-03,Brisket,Cheddar,"Cheesy Garlic Bread, Large Chocolate Chunk Cookie",Breadcrumbs,BBQ
3-54,2024-09-03,Brisket,Cheddar,Cheesy Garlic Bread,Parmesan,"BBQ, Hot Honey"
3-57,2024-09-03,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",BBQ
3-55,2024-09-03,"Bacon, Brisket","Pepper Jack, Cheddar",NA,"Tomatoes, Broccoli, Breadcrumbs, Parmesan","BBQ, Ranch"
