order number,date,meat,cheese,sides,toppings,sauce
2-44,2024-07-02,Bacon,Alfredo,NA,"Parmesan, Breadcrumbs",Ranch
2-45,2024-07-02,Bacon,Cheddar,NA,Broccoli,"Buffalo, Ranch"
2-46,2024-07-02,Bacon,Cheddar,NA,"Parmesan, Corn, Broccoli, Breadcrumbs",Garlic Parmesan
2-47,2024-07-02,Bacon,Cheddar,NA,"Onions, Breadcrumbs, Mushrooms",NA
2-48,2024-07-02,Brisket,Cheddar,NA,"Pineapple, Breadcrumbs",BBQ
2-49,2024-07-02,Ham,Alfredo,NA,Onions,Ranch
2-50,2024-07-02,"Pulled Pork, Brisket",Alfredo,Cheesecake,"Breadcrumbs, Mushrooms",NA
2-52,2024-07-02,"Bacon, Brisket","Melted Cheddar, Cheddar, Cheddar Mac",NA,Parmesan,"Ranch, BBQ"
2-51,2024-07-02,Grilled Chicken,Cheddar,NA,"Parmesan, Broccoli, Breadcrumbs, Mushrooms",Ranch
2-53,2024-07-02,"Pulled Pork, Brisket",Cheddar,NA,"Parmesan, Breadcrumbs","Ranch, BBQ"
2-54,2024-07-02,"Bacon, Brisket",Cheddar,NA,"Parmesan, Breadcrumbs","Garlic Parmesan, BBQ"
2-57,2024-07-02,Grilled Chicken,Cheddar,NA,"Onions, Parmesan, Breadcrumbs",Buffalo
2-58,2024-07-02,"Bacon, Grilled Chicken, Brisket",Cheddar,NA,"Jalapenos, Parmesan, Breadcrumbs",Ranch
3-2,2024-07-03,Brisket,"Melted Cheddar, Cheddar","Cheetos, Lays Classic","Corn, Tomatoes, Broccoli, Bell Peppers, Parmesan, Mushrooms","Pesto, Ranch, Garlic Parmesan"
3-1,2024-07-03,"Bacon, Brisket",Cheddar,NA,"Parmesan, Corn","Buffalo, Ranch"
3-3,2024-07-03,Grilled Chicken,Pepper Jack,NA,Corn,"Buffalo, Ranch"
3-4,2024-07-03,Grilled Chicken,Pepper Jack,NA,"Onions, Parmesan, Jalapenos, Tomatoes","Buffalo, Garlic Parmesan"
3-5,2024-07-03,Pulled Pork,MIX,NA,"Parmesan, Breadcrumbs",BBQ
3-7,2024-07-03,"Bacon, Brisket",Cheddar,NA,"Corn, Tomatoes, Broccoli, Onions, Parmesan",BBQ
3-8,2024-07-03,"Pulled Pork, Brisket",Cheddar,Any Bag Of Chips,"Parmesan, Breadcrumbs",NA
3-9,2024-07-03,Brisket,Cheddar,Side Mac,"Corn, Broccoli, Breadcrumbs, Mushrooms",Hot Honey
3-10,2024-07-03,"Bacon, Pulled Pork","Cheddar, Pepper Jack, Alfredo",NA,Jalapenos,BBQ
3-11,2024-07-03,"Pulled Pork, Brisket",Pepper Jack,NA,"Jalapenos, Parmesan, Onions, Tomatoes","Garlic Parmesan, BBQ"
3-12,2024-07-03,Grilled Chicken,"Cheddar, Melted Parmesan","Side Mac, Cheesy Garlic Bread",Parmesan,Pesto
3-15,2024-07-03,Pulled Pork,"Cheddar, Pepper Jack",Cheesy Garlic Bread,NA,Hot Honey
3-18,2024-07-03,NA,Pepper Jack,Cheesy Garlic Bread,"Tomatoes, Broccoli, Jalapenos, Parmesan, Pineapple, Mushrooms",NA
3-17,2024-07-03,Bacon,Alfredo,NA,"Parmesan, Mushrooms, Breadcrumbs, Tomatoes","Pesto, Garlic Parmesan"
3-16,2024-07-03,NA,Pepper Jack,NA,"Corn, Breadcrumbs, Tomatoes, Onions, Bell Peppers, Pineapple","Garlic Parmesan, Hot Honey"
3-19,2024-07-03,"Ham, Brisket",MIX,Cheesy Garlic Bread,"Bell Peppers, Broccoli, Breadcrumbs",NA
3-20,2024-07-03,Grilled Chicken,Pepper Jack,NA,"Breadcrumbs, Tomatoes, Onions, Jalapenos, Bell Peppers","Buffalo, Ranch, Garlic Parmesan"
3-23,2024-07-03,Grilled Chicken,Cheddar,NA,NA,Garlic Parmesan
3-24,2024-07-03,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Broccoli, Onions, Bell Peppers, Parmesan","Ranch, Garlic Parmesan"
3-22,2024-07-03,Grilled Chicken,MIX,Cheesy Garlic Bread,"Tomatoes, Jalapenos, Onions, Bell Peppers, Parmesan, Mushrooms",Buffalo
3-26,2024-07-03,Brisket,Cheddar,NA,"Jalapenos, Parmesan, Tomatoes",BBQ
3-28,2024-07-03,Brisket,Cheddar,NA,"Onions, Parmesan, Breadcrumbs, Mushrooms",Garlic Parmesan
3-27,2024-07-03,Brisket,Cheddar,NA,"Breadcrumbs, Tomatoes",Garlic Parmesan
3-29,2024-07-03,Brisket,Pepper Jack,Cheesy Garlic Bread,NA,NA
3-30,2024-07-03,Bacon,Alfredo,NA,"Jalapenos, Bell Peppers, Mushrooms",Hot Honey
3-32,2024-07-03,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Tomatoes, Broccoli, Onions, Bell Peppers",BBQ
3-33,2024-07-03,Bacon,Cheddar,Cheesy Garlic Bread,"Parmesan, Corn, Broccoli, Breadcrumbs",Ranch
3-36,2024-07-03,Pulled Pork,Cheddar,"Garlic Bread, Cheesecake","Parmesan, Breadcrumbs, Mushrooms",Garlic Parmesan
3-35,2024-07-03,"Bacon, Grilled Chicken","Cheddar, Alfredo",Cheesy Garlic Bread,"Parmesan, Breadcrumbs","Buffalo, Ranch"
3-34,2024-07-03,"Bacon, Grilled Chicken",Cheddar,Garlic Bread,"Parmesan, Breadcrumbs","Buffalo, BBQ"
3-37,2024-07-03,Pulled Pork,Cheddar,Cheesy Garlic Bread,"Corn, Tomatoes, Onions, Jalapenos, Bell Peppers",BBQ
3-38,2024-07-03,Brisket,Cheddar,NA,"Parmesan, Breadcrumbs","Buffalo, BBQ"
3-39,2024-07-03,Brisket,Cheddar,NA,"Parmesan, Broccoli, Breadcrumbs","Buffalo, BBQ"
3-41,2024-07-03,Pulled Pork,Cheddar,NA,Parmesan,"Ranch, Garlic Parmesan"
3-40,2024-07-03,"Grilled Chicken, Brisket",Cheddar,NA,"Onions, Parmesan, Breadcrumbs","Garlic Parmesan, BBQ"
3-42,2024-07-03,Brisket,Cheddar,"Side Mac, Cheesecake",Breadcrumbs,BBQ
3-43,2024-07-03,Grilled Chicken,Cheddar,Garlic Bread,"Parmesan, Corn, Breadcrumbs",Garlic Parmesan
3-44,2024-07-03,NA,Pepper Jack,NA,"Onions, Jalapenos",BBQ
3-45,2024-07-03,NA,"Cheddar, Melted Pepper Jack","Cheesecake, Cheetos, Cheesy Garlic Bread","Corn, Breadcrumbs, Tomatoes, Onions, Parmesan, Mushrooms","Pesto, Garlic Parmesan"
3-46,2024-07-03,Brisket,Pepper Jack,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs",BBQ
3-49,2024-07-03,Pulled Pork,Cheddar,Cheesecake,Pineapple,BBQ
3-48,2024-07-03,"Bacon, Brisket","Cheddar, Alfredo",Cheesy Garlic Bread,"Onions, Breadcrumbs, Tomatoes",BBQ
3-51,2024-07-03,Pulled Pork,Alfredo,NA,"Breadcrumbs, Broccoli, Onions, Parmesan, Pineapple",Pesto
3-52,2024-07-03,Brisket,Cheddar,Cheesy Garlic Bread,Breadcrumbs,Garlic Parmesan
3-53,2024-07-03,Grilled Chicken,Cheddar,NA,"Onions, Parmesan, Breadcrumbs, Mushrooms","Ranch, Hot Honey"
3-54,2024-07-03,Brisket,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",BBQ
3-55,2024-07-03,Ham,Cheddar,Cheesy Garlic Bread,"Parmesan, Corn",NA
3-56,2024-07-03,"Bacon, Grilled Chicken, Brisket, Pulled Pork","Melted Cheddar, Cheddar Mac, Alfredo",Cheesy Garlic Bread,"Parmesan, Corn, Broccoli, Breadcrumbs",BBQ
5-4,2024-07-05,Brisket,"Cheddar, Alfredo",Cheesy Garlic Bread,"Corn, Breadcrumbs, Onions, Bell Peppers, Parmesan, Mushrooms",BBQ
5-5,2024-07-05,Grilled Chicken,Cheddar,NA,"Parmesan, Corn, Breadcrumbs",Ranch
5-6,2024-07-05,Brisket,Cheddar,Garlic Bread,"Corn, Broccoli, Breadcrumbs, Mushrooms",BBQ
5-8,2024-07-05,Brisket,Pepper Jack,Doritos,"Breadcrumbs, Tomatoes","Garlic Parmesan, BBQ"
5-7,2024-07-05,Brisket,Alfredo,"Side Mac, Cheesy Garlic Bread","Bell Peppers, Parmesan, Broccoli, Breadcrumbs","Pesto, Garlic Parmesan"
5-9,2024-07-05,Brisket,Cheddar,Garlic Bread,"Parmesan, Broccoli, Breadcrumbs",BBQ
5-10,2024-07-05,Brisket,"Cheddar Mac, Melted Pepper Jack",NA,NA,NA
5-11,2024-07-05,Grilled Chicken,"Melted Cheddar, Cheddar, Cheddar Mac",NA,NA,BBQ
5-13,2024-07-05,Grilled Chicken,"Alfredo, Pepper Jack",Cheesy Garlic Bread,"Corn, Breadcrumbs, Broccoli, Onions, Jalapenos, Bell Peppers, Parmesan","Pesto, Garlic Parmesan"
5-15,2024-07-05,Brisket,Cheddar,Cheesy Garlic Bread,"Onions, Parmesan, Bell Peppers, Breadcrumbs",BBQ
5-14,2024-07-05,Bacon,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Broccoli, Mushrooms, Tomatoes",Garlic Parmesan
5-17,2024-07-05,Brisket,Cheddar,NA,Breadcrumbs,BBQ
5-16,2024-07-05,Brisket,Cheddar,NA,"Corn, Breadcrumbs",Garlic Parmesan
5-18,2024-07-05,"Grilled Chicken, Brisket",Cheddar,NA,"Jalapenos, Breadcrumbs",BBQ
5-19,2024-07-05,NA,Pepper Jack,Cheesy Garlic Bread,"Tomatoes, Broccoli, Jalapenos, Parmesan, Pineapple, Mushrooms",Pesto
5-20,2024-07-05,Bacon,Cheddar,NA,NA,Garlic Parmesan
5-21,2024-07-05,Bacon,Pepper Jack,NA,"Onions, Corn, Jalapenos, Parmesan",Pesto
5-22,2024-07-05,NA,Cheddar,Cheesy Garlic Bread,NA,NA
5-23,2024-07-05,Bacon,Pepper Jack,Cheesy Garlic Bread,NA,Hot Honey
5-24,2024-07-05,Pulled Pork,Pepper Jack,Cheesecake,"Onions, Parmesan, Breadcrumbs, Mushrooms","Garlic Parmesan, BBQ"
5-25,2024-07-05,NA,Melted Pepper Jack,NA,"Corn, Tomatoes, Onions, Jalapenos, Bell Peppers, Mushrooms",Garlic Parmesan
5-26,2024-07-05,"Ham, Brisket","Alfredo, Pepper Jack",Cheesy Garlic Bread,"Breadcrumbs, Jalapenos, Onions, Parmesan, Mushrooms","Buffalo, Hot Honey"
5-29,2024-07-05,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Parmesan, Broccoli",NA
5-27,2024-07-05,Brisket,Alfredo,NA,"Parmesan, Mushrooms",BBQ
5-28,2024-07-05,Brisket,Alfredo,Garlic Bread,NA,BBQ
5-30,2024-07-05,"Pulled Pork, Brisket",Pepper Jack,"Garlic Bread, Cheesecake, Cheesy Garlic Bread","Jalapenos, Broccoli",BBQ
5-31,2024-07-05,NA,Pepper Jack,"Cheesecake, Cheesy Garlic Bread","Parmesan, Breadcrumbs",Garlic Parmesan
5-32,2024-07-05,Grilled Chicken,Cheddar,Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
5-34,2024-07-05,Brisket,"Pepper Jack Mac, Melted Pepper Jack",Garlic Bread,Broccoli,NA
5-35,2024-07-05,"Bacon, Grilled Chicken",Pepper Jack,Cheesy Garlic Bread,NA,"Buffalo, Ranch"
5-37,2024-07-05,Brisket,Cheddar,NA,"Bell Peppers, Tomatoes",NA
5-38,2024-07-05,"Bacon, Brisket",Alfredo,NA,Parmesan,NA
5-1,2024-07-05,NA,NA,Cheesy Garlic Bread,NA,NA
5-39,2024-07-05,Brisket,Cheddar,NA,"Onions, Breadcrumbs, Jalapenos","Buffalo, Ranch"
5-40,2024-07-05,Grilled Chicken,Cheddar,NA,NA,NA
5-41,2024-07-05,"Bacon, Brisket",Pepper Jack,NA,"Jalapenos, Parmesan, Bell Peppers, Breadcrumbs","Buffalo, Ranch"
5-42,2024-07-05,Grilled Chicken,Cheddar,Garlic Bread,"Breadcrumbs, Broccoli, Onions, Bell Peppers, Parmesan","Ranch, Garlic Parmesan"
5-44,2024-07-05,NA,Alfredo,NA,"Corn, Breadcrumbs, Broccoli, Onions, Parmesan, Mushrooms","Pesto, Garlic Parmesan"
5-43,2024-07-05,Brisket,Cheddar,Garlic Bread,"Onions, Parmesan, Broccoli, Tomatoes",Pesto
5-45,2024-07-05,Brisket,Cheddar,NA,"Corn, Tomatoes, Onions, Bell Peppers, Parmesan, Mushrooms",Hot Honey
6-6,2024-07-06,Brisket,Alfredo,NA,"Jalapenos, Corn, Bell Peppers, Breadcrumbs",BBQ
6-7,2024-07-06,NA,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",NA
6-8,2024-07-06,"Grilled Chicken, Ham, Brisket","Melted Cheddar, Cheddar, Alfredo",NA,"Onions, Broccoli, Bell Peppers, Breadcrumbs","Pesto, BBQ"
6-15,2024-07-06,Brisket,"Melted Cheddar, Cheddar",Cheesy Garlic Bread,"Jalapenos, Bell Peppers, Tomatoes",BBQ
6-18,2024-07-06,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs",BBQ
6-16,2024-07-06,Brisket,Cheddar,NA,"Parmesan, Breadcrumbs",BBQ
6-17,2024-07-06,NA,NA,Side Mac,NA,NA
6-19,2024-07-06,"Bacon, Brisket","Melted Cheddar, Cheddar, Pepper Jack","Any Bag Of Chips, Cheesy Garlic Bread","Parmesan, Breadcrumbs","Garlic Parmesan, BBQ"
6-21,2024-07-06,"Bacon, Brisket",Cheddar,NA,"Onions, Parmesan, Breadcrumbs","Pesto, Garlic Parmesan"
6-22,2024-07-06,"Pulled Pork, Brisket","Melted Cheddar, Cheddar",Cheesy Garlic Bread,"Corn, Breadcrumbs, Tomatoes, Parmesan, Pineapple, Mushrooms","Ranch, BBQ"
6-24,2024-07-06,Brisket,Alfredo,Cheesy Garlic Bread,"Onions, Parmesan, Broccoli, Mushrooms",Buffalo
6-23,2024-07-06,Brisket,Cheddar,NA,"Onions, Corn",BBQ
6-25,2024-07-06,"Pulled Pork, Brisket","Cheddar, Pepper Jack",Cheesy Garlic Bread,Jalapenos,"Ranch, BBQ"
6-26,2024-07-06,NA,Alfredo,Garlic Bread,"Corn, Breadcrumbs, Tomatoes, Broccoli, Onions, Parmesan, Mushrooms","Pesto, Garlic Parmesan"
6-27,2024-07-06,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
6-28,2024-07-06,NA,Cheddar,NA,"Parmesan, Breadcrumbs",Hot Honey
6-30,2024-07-06,Brisket,Cheddar,Garlic Bread,"Parmesan, Breadcrumbs",BBQ
6-31,2024-07-06,Brisket,Cheddar,Side Mac,Breadcrumbs,NA
