order number,date,meat,cheese,sides,toppings,sauce
1-24,2024-05-01,Brisket,Cheddar,NA,"Onions, Bell Peppers, Breadcrumbs, Broccoli, Corn, Parmesan",BBQ
1-25,2024-05-01,Grilled Chicken,Cheddar,NA,"Mushrooms, Bell Peppers",BBQ
1-28,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Onions, Breadcrumbs, Broccoli, Jalapenos, Mushrooms",BBQ
1-27,2024-05-01,Brisket,Cheddar,NA,"Broccoli, Breadcrumbs, Onions",BBQ
1-29,2024-05-01,Ham,Cheddar,Cheesy Garlic Bread,Parmesan,NA
1-31,2024-05-01,Bacon,Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-30,2024-05-01,Grilled Chicken,"Melted Cheddar, Cheddar Mac",Garlic Bread,Bell Peppers,NA
1-32,2024-05-01,"Grilled Chicken, Brisket","Cheddar, Melted Cheddar",NA,"Mushrooms, Parmesan",Hot Honey
1-34,2024-05-01,"Brisket, Pulled Pork",Cheddar,Cheesy Garlic Bread,Breadcrumbs,BBQ
1-33,2024-05-01,Brisket,Cheddar,NA,"Jalapenos, Mushrooms, Tomatoes, Parmesan",Hot Honey
1-35,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Broccoli, Breadcrumbs, Corn, Parmesan",Garlic Parmesan
1-36,2024-05-01,Bacon,Cheddar,NA,Parmesan,NA
1-37,2024-05-01,NA,Pepper Jack,Cheesy Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Broccoli, Jalapenos, Corn, Parmesan","Pesto, Ranch, Buffalo, Garlic Parmesan"
1-40,2024-05-01,NA,Cheddar,NA,Parmesan,BBQ
1-41,2024-05-01,Bacon,Cheddar,Any Bag Of Chips,"Bell Peppers, Parmesan",NA
1-38,2024-05-01,Bacon,Cheddar,Cheesy Garlic Bread,NA,NA
1-39,2024-05-01,Grilled Chicken,Cheddar,Garlic Bread,"Broccoli, Bell Peppers, Parmesan",NA
1-44,2024-05-01,Ham,"Melted Parmesan, Alfredo Mac",NA,NA,NA
1-45,2024-05-01,NA,Alfredo,Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Mushrooms, Parmesan",Garlic Parmesan
1-43,2024-05-01,Brisket,"Cheddar, Melted Cheddar",Cheesecake,"Broccoli, Breadcrumbs, Onions",NA
1-47,2024-05-01,NA,Alfredo,NA,"Jalapenos, Mushrooms, Bell Peppers, Breadcrumbs","Pesto, Garlic Parmesan"
1-48,2024-05-01,Grilled Chicken,Alfredo,NA,"Mushrooms, Broccoli, Parmesan",NA
1-49,2024-05-01,"Bacon, Pulled Pork",Pepper Jack,NA,"Tomatoes, Corn, Breadcrumbs, Parmesan",Garlic Parmesan
1-50,2024-05-01,NA,NA,Cheesecake,NA,NA
1-51,2024-05-01,"Grilled Chicken, Brisket","Cheddar, Pepper Jack",Cheesy Garlic Bread,"Jalapenos, Onions","BBQ, Ranch, Buffalo"
1-52,2024-05-01,Brisket,Pepper Jack,Cheesy Garlic Bread,"Mushrooms, Onions",Ranch
1-53,2024-05-01,Pulled Pork,Cheddar,Garlic Bread,NA,BBQ
1-54,2024-05-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Mushrooms, Corn, Parmesan",NA
1-55,2024-05-01,"Brisket, Pulled Pork","Cheddar, Pepper Jack","Cheesy Garlic Bread, Garlic Bread","Breadcrumbs, Parmesan",Garlic Parmesan
1-56,2024-05-01,"Bacon, Brisket",Cheddar,Cheesy Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Tomatoes, Parmesan","BBQ, Pesto, Hot Honey"
1-57,2024-05-01,"Bacon, Brisket",Cheddar,Cheesy Garlic Bread,Parmesan,BBQ
1-58,2024-05-01,Grilled Chicken,"Cheddar, Pepper Jack",NA,"Jalapenos, Mushrooms, Parmesan","Ranch, Buffalo"
1-59,2024-05-01,Grilled Chicken,Pepper Jack,Garlic Bread,"Jalapenos, Mushrooms","Pesto, Garlic Parmesan"
1-61,2024-05-01,Brisket,Cheddar,NA,Jalapenos,BBQ
1-60,2024-05-01,Grilled Chicken,Alfredo,Garlic Bread,"Broccoli, Corn",NA
1-62,2024-05-01,Pulled Pork,Cheddar,NA,"Bell Peppers, Breadcrumbs, Parmesan",Garlic Parmesan
1-65,2024-05-01,Brisket,Cheddar,NA,"Onions, Bell Peppers, Breadcrumbs, Tomatoes, Broccoli, Mushrooms, Corn, Parmesan","Pesto, Garlic Parmesan"
1-64,2024-05-01,Bacon,Pepper Jack,NA,Mushrooms,Hot Honey
1-67,2024-05-01,"Grilled Chicken, Ham",Pepper Jack,Cheesy Garlic Bread,Parmesan,Hot Honey
1-66,2024-05-01,"Grilled Chicken, Bacon","Alfredo, Melted Pepper Jack",Any Bag Of Chips,"Onions, Bell Peppers, Breadcrumbs, Jalapenos, Parmesan","Pesto, Garlic Parmesan"
1-68,2024-05-01,Brisket,Cheddar,NA,"Mushrooms, Corn, Breadcrumbs",BBQ
1-70,2024-05-01,"Grilled Chicken, Bacon",Cheddar,NA,"Mushrooms, Onions, Breadcrumbs, Parmesan",Ranch
1-71,2024-05-01,NA,"Melted Cheddar, Alfredo Mac",NA,"Onions, Breadcrumbs, Tomatoes, Broccoli, Mushrooms, Corn, Parmesan",Garlic Parmesan
1-72,2024-05-01,"Bacon, Pulled Pork",Cheddar,NA,Pineapple,NA
1-74,2024-05-01,"Pulled Pork, Ham",Alfredo,NA,"Onions, Breadcrumbs, Parmesan",Pesto
1-73,2024-05-01,Grilled Chicken,Alfredo,NA,"Onions, Bell Peppers, Breadcrumbs, Jalapenos, Parmesan","Hot Honey, Ranch, Garlic Parmesan"
1-75,2024-05-01,Bacon,Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-76,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,Parmesan,NA
1-77,2024-05-01,"Grilled Chicken, Bacon",Alfredo,Any Bag Of Chips,"Tomatoes, Mushrooms, Parmesan",Pesto
1-78,2024-05-01,Pulled Pork,Cheddar,Garlic Bread,Breadcrumbs,BBQ
1-80,2024-05-01,Grilled Chicken,Pepper Jack,Garlic Bread,"Jalapenos, Mushrooms","Pesto, Garlic Parmesan"
1-81,2024-05-01,"Bacon, Brisket","Melted Cheddar, Cheddar Mac",Cheesy Garlic Bread,NA,Buffalo
1-83,2024-05-01,NA,Cheddar,"Cheesy Garlic Bread, Cheesecake, Garlic Bread","Bell Peppers, Breadcrumbs, Onions, Tomatoes, Corn",Pesto
1-84,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Ranch, Buffalo"
1-82,2024-05-01,"Brisket, Pulled Pork",Cheddar,Cheesy Garlic Bread,"Bell Peppers, Onions, Breadcrumbs, Broccoli, Mushrooms, Parmesan",Garlic Parmesan
1-85,2024-05-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Onions, Breadcrumbs, Parmesan",Ranch
1-86,2024-05-01,Brisket,Cheddar,NA,"Bell Peppers, Breadcrumbs, Onions, Broccoli, Jalapenos","BBQ, Ranch"
1-89,2024-05-01,Bacon,Cheddar,NA,"Onions, Parmesan",Garlic Parmesan
1-88,2024-05-01,Pulled Pork,Cheddar,Doritos,NA,BBQ
1-90,2024-05-01,NA,Pepper Jack,Cheesy Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Broccoli, Jalapenos, Corn, Parmesan",Pesto
1-91,2024-05-01,Grilled Chicken,Cheddar,NA,"Onions, Breadcrumbs, Tomatoes, Jalapenos, Parmesan",Buffalo
1-92,2024-05-01,Brisket,Alfredo,NA,"Bell Peppers, Breadcrumbs, Tomatoes, Mushrooms, Parmesan",Pesto
1-93,2024-05-01,Grilled Chicken,Alfredo,Cheesecake,"Breadcrumbs, Broccoli, Mushrooms, Corn, Parmesan","Pesto, Ranch"
1-94,2024-05-01,Brisket,Cheddar,NA,Breadcrumbs,BBQ
1-95,2024-05-01,Ham,Pepper Jack,NA,"Bell Peppers, Onions, Breadcrumbs, Jalapenos, Corn, Parmesan","Buffalo, Garlic Parmesan"
1-96,2024-05-01,Bacon,Cheddar,Any Bag Of Chips,Mushrooms,NA
1-98,2024-05-01,Bacon,Pepper Jack,NA,"Onions, Bell Peppers, Breadcrumbs, Broccoli, Mushrooms, Corn, Parmesan",Buffalo
1-99,2024-05-01,Pulled Pork,Cheddar,NA,Onions,"BBQ, Ranch"
1-101,2024-05-01,Bacon,Cheddar,Cheesecake,NA,NA
1-100,2024-05-01,Pulled Pork,Cheddar,Cheesecake,NA,NA
1-102,2024-05-01,"Bacon, Brisket",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",BBQ
1-103,2024-05-01,"Grilled Chicken, Bacon","Cheddar, Melted Cheddar, Cheddar Mac",NA,"Breadcrumbs, Parmesan","Ranch, Garlic Parmesan"
1-104,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-105,2024-05-01,"Grilled Chicken, Bacon","Cheddar, Melted Cheddar, Cheddar Mac",NA,"Breadcrumbs, Parmesan","Ranch, Garlic Parmesan"
1-106,2024-05-01,"Brisket, Pulled Pork",Cheddar,NA,Broccoli,"Hot Honey, Pesto, Garlic Parmesan"
1-108,2024-05-01,NA,Cheddar,Cheesecake,"Mushrooms, Broccoli, Bell Peppers, Parmesan",NA
1-109,2024-05-01,Grilled Chicken,Cheddar,NA,"Mushrooms, Broccoli, Breadcrumbs, Corn",Garlic Parmesan
1-110,2024-05-01,"Grilled Chicken, Pulled Pork",Cheddar,NA,Parmesan,NA
1-111,2024-05-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Corn, Bell Peppers, Parmesan","Pesto, Garlic Parmesan"
1-113,2024-05-01,Grilled Chicken,Pepper Jack,NA,"Bell Peppers, Breadcrumbs, Parmesan",Buffalo
1-112,2024-05-01,"Grilled Chicken, Bacon",Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Broccoli, Mushrooms, Corn, Parmesan",Garlic Parmesan
1-114,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Broccoli, Mushrooms, Corn, Parmesan",Garlic Parmesan
1-115,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Broccoli, Mushrooms, Corn, Parmesan",Garlic Parmesan
1-119,2024-05-01,NA,NA,Cheesecake,NA,NA
1-117,2024-05-01,Pulled Pork,Cheddar,Any Bag Of Chips,Parmesan,BBQ
1-116,2024-05-01,Brisket,Cheddar,NA,"Corn, Onions",BBQ
1-118,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Corn, Breadcrumbs",BBQ
1-120,2024-05-01,NA,Cheddar,"Cheesy Garlic Bread, Cheesecake","Mushrooms, Corn, Breadcrumbs, Parmesan","Hot Honey, Ranch, Garlic Parmesan"
1-121,2024-05-01,Pulled Pork,Alfredo,Cheesy Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Mushrooms, Parmesan","BBQ, Hot Honey"
1-122,2024-05-01,Bacon,Pepper Jack,NA,"Onions, Broccoli, Corn",Pesto
1-123,2024-05-01,Grilled Chicken,Cheddar,NA,"Mushrooms, Broccoli, Bell Peppers",Buffalo
1-124,2024-05-01,Brisket,Pepper Jack,NA,Breadcrumbs,"BBQ, Buffalo"
1-125,2024-05-01,NA,Cheddar,NA,"Breadcrumbs, Pineapple, Broccoli, Mushrooms, Corn, Parmesan","BBQ, Garlic Parmesan"
1-128,2024-05-01,Brisket,Cheddar,NA,"Tomatoes, Corn",BBQ
1-127,2024-05-01,Grilled Chicken,Melted Pepper Jack,Cheesy Garlic Bread,NA,"Ranch, Buffalo"
1-126,2024-05-01,Pulled Pork,Cheddar,Cheesy Garlic Bread,Breadcrumbs,NA
1-130,2024-05-01,Grilled Chicken,Pepper Jack,NA,"Mushrooms, Broccoli, Bell Peppers, Breadcrumbs","BBQ, Ranch"
1-129,2024-05-01,Ham,Cheddar,NA,"Mushrooms, Broccoli, Onions, Parmesan",Garlic Parmesan
1-131,2024-05-01,Grilled Chicken,Cheddar,Any Bag Of Chips,"Corn, Parmesan",Ranch
1-133,2024-05-01,Grilled Chicken,"Alfredo Mac, Melted Pepper Jack",Cheesy Garlic Bread,Parmesan,Buffalo
1-132,2024-05-01,Brisket,"Cheddar, Pepper Jack",Cheesy Garlic Bread,"Tomatoes, Bell Peppers, Parmesan","Ranch, Buffalo"
1-134,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,Parmesan,BBQ
1-135,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Corn, Onions",BBQ
1-137,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Bell Peppers, Parmesan","Ranch, Buffalo"
1-138,2024-05-01,Brisket,Cheddar,Garlic Bread,"Breadcrumbs, Parmesan",Pesto
1-139,2024-05-01,Brisket,Pepper Jack,Cheesy Garlic Bread,"Onions, Bell Peppers, Breadcrumbs, Tomatoes, Parmesan",BBQ
1-140,2024-05-01,Brisket,Pepper Jack,Cheesy Garlic Bread,"Tomatoes, Corn, Breadcrumbs, Parmesan","Ranch, Garlic Parmesan"
1-141,2024-05-01,"Grilled Chicken, Pulled Pork",Pepper Jack,NA,"Mushrooms, Broccoli, Breadcrumbs, Parmesan",Buffalo
1-142,2024-05-01,NA,Alfredo,NA,Breadcrumbs,NA
1-143,2024-05-01,NA,Pepper Jack,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-144,2024-05-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Broccoli, Bell Peppers, Onions, Parmesan",NA
1-145,2024-05-01,"Brisket, Pulled Pork",Cheddar,Cheesy Garlic Bread,Parmesan,"BBQ, Garlic Parmesan"
1-147,2024-05-01,NA,NA,Cheesecake,NA,NA
1-148,2024-05-01,Pulled Pork,Cheddar,NA,"Onions, Bell Peppers",BBQ
1-149,2024-05-01,NA,Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-151,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,Corn,Garlic Parmesan
1-154,2024-05-01,Bacon,"Melted Cheddar, Alfredo Mac",Cheesy Garlic Bread,Parmesan,NA
1-150,2024-05-01,Brisket,Pepper Jack,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Broccoli, Corn, Parmesan","BBQ, Hot Honey"
1-152,2024-05-01,Brisket,Pepper Jack,NA,"Corn, Parmesan",Garlic Parmesan
1-155,2024-05-01,"Grilled Chicken, Bacon","Cheddar, Pepper Jack","Cheesy Garlic Bread, Cheesecake","Onions, Breadcrumbs, Parmesan",Buffalo
1-156,2024-05-01,Bacon,Cheddar,Any Bag Of Chips,"Breadcrumbs, Parmesan","Pesto, Garlic Parmesan"
1-158,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Mushrooms, Breadcrumbs, Parmesan",Ranch
1-159,2024-05-01,"Grilled Chicken, Bacon",Cheddar,NA,"Onions, Parmesan","Ranch, Buffalo"
1-157,2024-05-01,"Grilled Chicken, Pulled Pork",Alfredo,NA,"Bell Peppers, Onions, Tomatoes, Mushrooms, Corn","Buffalo, Garlic Parmesan"
1-160,2024-05-01,Brisket,"Alfredo Mac, Melted Pepper Jack",Cheesy Garlic Bread,Breadcrumbs,"Ranch, Buffalo"
1-161,2024-05-01,Grilled Chicken,Cheddar,NA,"Corn, Breadcrumbs, Onions, Parmesan","Buffalo, Garlic Parmesan"
1-162,2024-05-01,Ham,Cheddar,NA,"Mushrooms, Corn, Breadcrumbs, Parmesan",Garlic Parmesan
1-163,2024-05-01,"Bacon, Brisket",Pepper Jack,Cheesy Garlic Bread,Breadcrumbs,BBQ
1-164,2024-05-01,"Brisket, Pulled Pork","Alfredo, Cheddar",Cheesy Garlic Bread,"Mushrooms, Broccoli, Breadcrumbs, Parmesan","BBQ, Ranch, Garlic Parmesan"
1-165,2024-05-01,"Grilled Chicken, Brisket, Pulled Pork","Alfredo, Cheddar",Cheesy Garlic Bread,"Tomatoes, Mushrooms, Broccoli, Breadcrumbs",NA
1-166,2024-05-01,"Grilled Chicken, Bacon",Pepper Jack,Cheesy Garlic Bread,"Bell Peppers, Onions, Tomatoes, Broccoli, Parmesan","Pesto, Garlic Parmesan"
1-167,2024-05-01,NA,NA,Cheesy Garlic Bread,NA,NA
1-168,2024-05-01,Grilled Chicken,Cheddar,NA,"Bell Peppers, Onions, Breadcrumbs, Tomatoes, Broccoli, Mushrooms",Buffalo
1-169,2024-05-01,"Bacon, Pulled Pork",Cheddar,Garlic Bread,Onions,BBQ
1-170,2024-05-01,Grilled Chicken,"Melted Cheddar, Cheddar Mac",NA,NA,Ranch
1-171,2024-05-01,Pulled Pork,Cheddar,NA,"Breadcrumbs, Parmesan",Garlic Parmesan
1-173,2024-05-01,"Brisket, Pulled Pork",Cheddar,Cheesy Garlic Bread,"Mushrooms, Corn, Breadcrumbs",Hot Honey
1-172,2024-05-01,Bacon,"Cheddar, Pepper Jack Mac, Melted Pepper Jack",NA,Parmesan,NA
1-176,2024-05-01,Brisket,Cheddar,NA,"Bell Peppers, Breadcrumbs, Onions","BBQ, Ranch"
1-178,2024-05-01,Bacon,Cheddar,Cheesecake,"Broccoli, Breadcrumbs, Parmesan","Pesto, Garlic Parmesan"
1-179,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Mushrooms, Onions, Bell Peppers, Parmesan",NA
1-182,2024-05-01,Grilled Chicken,Cheddar,NA,Breadcrumbs,Ranch
1-181,2024-05-01,"Bacon, Brisket",Cheddar,NA,"Mushrooms, Breadcrumbs",NA
1-180,2024-05-01,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Tomatoes, Broccoli, Parmesan","Ranch, Buffalo"
1-185,2024-05-01,Brisket,Alfredo,Cheesy Garlic Bread,"Breadcrumbs, Parmesan","Buffalo, Garlic Parmesan"
1-184,2024-05-01,Brisket,Cheddar,Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-183,2024-05-01,Grilled Chicken,Alfredo,NA,"Mushrooms, Corn, Parmesan",Pesto
1-186,2024-05-01,NA,Cheddar,NA,"Broccoli, Breadcrumbs, Parmesan",Hot Honey
1-188,2024-05-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Tomatoes, Broccoli, Parmesan",Ranch
1-187,2024-05-01,"Grilled Chicken, Brisket","Cheddar, Melted Cheddar",Cheesy Garlic Bread,"Tomatoes, Onions, Breadcrumbs",Ranch
1-189,2024-05-01,NA,Cheddar,NA,"Tomatoes, Mushrooms, Broccoli, Breadcrumbs",Pesto
1-190,2024-05-01,Brisket,Melted Parmesan,NA,NA,"BBQ, Buffalo"
1-191,2024-05-01,Brisket,Pepper Jack,NA,"Breadcrumbs, Tomatoes, Broccoli, Mushrooms, Corn, Parmesan",BBQ
1-192,2024-05-01,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Parmesan",BBQ
1-193,2024-05-01,"Bacon, Brisket",Alfredo,NA,"Breadcrumbs, Parmesan",BBQ
1-194,2024-05-01,Bacon,Cheddar,Cheesy Garlic Bread,Breadcrumbs,BBQ
1-195,2024-05-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",Ranch
1-198,2024-05-01,Brisket,Pepper Jack,NA,"Breadcrumbs, Parmesan",NA
1-197,2024-05-01,Brisket,Pepper Jack,NA,"Broccoli, Parmesan","BBQ, Buffalo"
1-199,2024-05-01,"Grilled Chicken, Bacon",Cheddar,NA,"Onions, Parmesan",Garlic Parmesan
1-201,2024-05-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Broccoli, Breadcrumbs",Garlic Parmesan
1-200,2024-05-01,Pulled Pork,Cheddar,Garlic Bread,"Corn, Bell Peppers, Breadcrumbs, Parmesan",Pesto
1-203,2024-05-01,Brisket,Alfredo,NA,Parmesan,NA
1-205,2024-05-01,Bacon,Cheddar,Cheesy Garlic Bread,"Onions, Breadcrumbs",Buffalo
1-202,2024-05-01,Bacon,Cheddar,NA,Breadcrumbs,NA
1-208,2024-05-01,Grilled Chicken,Cheddar,NA,"Onions, Broccoli, Corn, Parmesan",Pesto
1-207,2024-05-01,Bacon,Cheddar,NA,"Breadcrumbs, Parmesan",Garlic Parmesan
1-209,2024-05-01,NA,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Hot Honey
1-212,2024-05-01,"Bacon, Brisket, Ham","Cheddar, Cheddar Mac, Melted Pepper Jack",NA,"Breadcrumbs, Parmesan","BBQ, Garlic Parmesan"
1-210,2024-05-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",BBQ
1-211,2024-05-01,Ham,Cheddar,NA,Parmesan,NA
1-214,2024-05-01,NA,Cheddar,Cheesy Garlic Bread,"Corn, Breadcrumbs, Parmesan",Garlic Parmesan
1-213,2024-05-01,"Grilled Chicken, Brisket","Cheddar, Melted Cheddar, Cheddar Mac",Cheesy Garlic Bread,"Corn, Breadcrumbs, Onions","Buffalo, Garlic Parmesan"
1-215,2024-05-01,Brisket,Cheddar,"Cheesy Garlic Bread, Cheesecake","Tomatoes, Corn, Breadcrumbs, Pineapple",Garlic Parmesan
1-217,2024-05-01,"Grilled Chicken, Bacon",Cheddar,NA,"Breadcrumbs, Parmesan","Buffalo, Garlic Parmesan"
1-218,2024-05-01,Bacon,Cheddar,Garlic Bread,"Onions, Breadcrumbs, Parmesan",Buffalo
1-219,2024-05-01,Bacon,Alfredo,Cheesy Garlic Bread,"Broccoli, Breadcrumbs, Parmesan",Ranch
1-220,2024-05-01,NA,Alfredo,NA,Broccoli,"BBQ, Garlic Parmesan"
1-216,2024-05-01,Grilled Chicken,Cheddar,NA,"Breadcrumbs, Parmesan","Buffalo, Garlic Parmesan"
1-222,2024-05-01,Brisket,Cheddar,NA,"Breadcrumbs, Broccoli, Mushrooms, Corn, Parmesan","Pesto, Garlic Parmesan"
1-227,2024-05-01,NA,Cheddar,NA,"Breadcrumbs, Parmesan",NA
1-224,2024-05-01,Bacon,Cheddar,NA,Breadcrumbs,Garlic Parmesan
1-223,2024-05-01,Brisket,MIX,"Cheesy Garlic Bread, Garlic Bread","Tomatoes, Corn, Parmesan",Garlic Parmesan
1-226,2024-05-01,Bacon,Alfredo,NA,Parmesan,NA
1-225,2024-05-01,Grilled Chicken,Cheddar,Garlic Bread,"Breadcrumbs, Parmesan","Buffalo, Garlic Parmesan"
1-231,2024-05-01,Brisket,Alfredo,Garlic Bread,Broccoli,BBQ
1-239,2024-05-01,Bacon,Melted Cheddar,NA,NA,NA
1-244,2024-05-01,Brisket,Cheddar,NA,"Breadcrumbs, Parmesan",BBQ
1-246,2024-05-01,Brisket,Alfredo,Cheesy Garlic Bread,NA,BBQ
1-245,2024-05-01,Brisket,Alfredo,Any Bag Of Chips,Breadcrumbs,NA
1-243,2024-05-01,Bacon,Cheddar,Cheesy Garlic Bread,"Broccoli, Parmesan",Buffalo
1-248,2024-05-01,Bacon,Pepper Jack,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-247,2024-05-01,Brisket,"Alfredo Mac, Melted Pepper Jack",NA,Parmesan,NA
1-250,2024-05-01,Brisket,Cheddar,NA,"Corn, Breadcrumbs, Onions, Parmesan",BBQ
1-249,2024-05-01,Brisket,Alfredo,Garlic Bread,"Onions, Breadcrumbs, Tomatoes, Broccoli, Mushrooms, Parmesan","Buffalo, Garlic Parmesan"
1-253,2024-05-01,Grilled Chicken,Cheddar,NA,Parmesan,Buffalo
1-251,2024-05-01,Brisket,Cheddar,NA,NA,NA
1-252,2024-05-01,Brisket,Cheddar,NA,"Onions, Breadcrumbs",Ranch
1-255,2024-05-01,Brisket,Cheddar,NA,Breadcrumbs,Buffalo
1-256,2024-05-01,"Grilled Chicken, Bacon","Cheddar, Pepper Jack",Garlic Bread,"Broccoli, Corn",Hot Honey
1-259,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Garlic Parmesan
1-258,2024-05-01,Pulled Pork,"Melted Cheddar, Cheddar Mac",NA,NA,Buffalo
1-257,2024-05-01,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Corn, Breadcrumbs, Parmesan","BBQ, Hot Honey, Garlic Parmesan"
1-261,2024-05-01,"Grilled Chicken, Bacon",Cheddar,Garlic Bread,Breadcrumbs,NA
1-260,2024-05-01,"Bacon, Brisket",Cheddar,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Mushrooms, Corn, Parmesan",Hot Honey
1-263,2024-05-01,Bacon,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",NA
1-262,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",NA
1-265,2024-05-01,Grilled Chicken,"Melted Parmesan, Cheddar Mac",Cheesy Garlic Bread,Broccoli,Garlic Parmesan
1-268,2024-05-01,Brisket,Cheddar,NA,Breadcrumbs,NA
1-266,2024-05-01,Brisket,Cheddar,Cheesy Garlic Bread,"Breadcrumbs, Parmesan",Buffalo
1-269,2024-05-01,Grilled Chicken,Pepper Jack,Cheesy Garlic Bread,"Tomatoes, Bell Peppers, Breadcrumbs, Parmesan",Buffalo
1-267,2024-05-01,Brisket,Cheddar,NA,Breadcrumbs,NA
1-270,2024-05-01,"Grilled Chicken, Bacon, Brisket","Alfredo, Cheddar","Cheesy Garlic Bread, Cheesecake","Tomatoes, Breadcrumbs, Parmesan","BBQ, Pesto"
