order number,date,meat,cheese,sides,toppings,sauce
13-69,2024-04-13,Brisket,Cheddar,NA,"Bell Peppers, Breadcrumbs, Parmesan, Tomatoes",Buffalo
13-70,2024-04-13,Brisket,Cheddar,Cheesy Garlic Bread,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Bell Peppers, Tomatoes",Pesto
13-71,2024-04-13,"Brisket, Grilled Chicken","Pepper Jack, Melted Cheddar, Pepper Jack Mac","Garlic Bread, Cheesy Garlic Bread",Breadcrumbs,NA
13-78,2024-04-13,NA,Pepper Jack,NA,"Broccoli, Bell Peppers, Mushrooms, Jalapenos",Garlic Parmesan
13-75,2024-04-13,NA,Pepper Jack,NA,Breadcrumbs,Garlic Parmesan
13-76,2024-04-13,NA,Pepper Jack,NA,"Broccoli, Jalapenos, Breadcrumbs","Pesto, Garlic Parmesan"
13-82,2024-04-13,Brisket,Cheddar,Cheesy Garlic Bread,Breadcrumbs,NA
13-79,2024-04-13,Grilled Chicken,"Cheddar, Pepper Jack",Cheesy Garlic Bread,"Broccoli, Parmesan, Breadcrumbs","Pesto, Garlic Parmesan"
13-81,2024-04-13,"Brisket, Grilled Chicken","Melted Pepper Jack, Alfredo",NA,"Mushrooms, Parmesan, Broccoli, Pineapple, Corn, Tomatoes",NA
13-83,2024-04-13,Grilled Chicken,MIX,NA,"Mushrooms, Broccoli, Bell Peppers, Pineapple, Corn, Tomatoes",NA
13-84,2024-04-13,Grilled Chicken,Cheddar,NA,NA,Ranch
13-88,2024-04-13,Pulled Pork,Melted Cheddar,NA,"Broccoli, Mushrooms",NA
13-87,2024-04-13,Grilled Chicken,Alfredo,Garlic Bread,"Parmesan, Breadcrumbs",Pesto
13-91,2024-04-13,Grilled Chicken,Cheddar,NA,"Mushrooms, Parmesan",Pesto
13-90,2024-04-13,Brisket,"Melted Parmesan, Alfredo Mac, Cheddar Mac",Cheesy Garlic Bread,"Broccoli, Mushrooms","Pesto, BBQ"
13-85,2024-04-13,Bacon,Cheddar,Cheesecake,"Bell Peppers, Mushrooms, Tomatoes",BBQ
13-94,2024-04-13,Brisket,Cheddar,NA,"Mushrooms, Parmesan, Breadcrumbs, Broccoli, Corn",Garlic Parmesan
13-95,2024-04-13,Brisket,Cheddar,NA,"Mushrooms, Parmesan, Breadcrumbs, Broccoli, Pineapple",Garlic Parmesan
13-96,2024-04-13,Brisket,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Mushrooms, Corn, Breadcrumbs","Pesto, Garlic Parmesan"
13-92,2024-04-13,Brisket,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",BBQ
13-97,2024-04-13,Grilled Chicken,"Melted Cheddar, Alfredo Mac, Cheddar Mac",NA,"Broccoli, Corn",NA
13-98,2024-04-13,NA,"Melted Cheddar, Pepper Jack Mac",NA,"Broccoli, Corn, Jalapenos",BBQ
13-102,2024-04-13,"Brisket, Pulled Pork","Cheddar, Pepper Jack, Alfredo",NA,"Parmesan, Jalapenos, Breadcrumbs, Tomatoes",BBQ
13-101,2024-04-13,"Brisket, Bacon",Cheddar,"Cheesy Garlic Bread, Side Mac","Bell Peppers, Mushrooms, Parmesan",BBQ
13-104,2024-04-13,Brisket,Cheddar,Garlic Bread,NA,Garlic Parmesan
13-105,2024-04-13,Bacon,Cheddar,NA,"Parmesan, Jalapenos, Breadcrumbs, Bell Peppers, Pineapple, Corn, Tomatoes",Buffalo
13-103,2024-04-13,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Jalapenos","Pesto, Garlic Parmesan"
13-106,2024-04-13,NA,Alfredo,NA,Breadcrumbs,BBQ
13-108,2024-04-13,Bacon,Pepper Jack,NA,"Mushrooms, Breadcrumbs",Garlic Parmesan
13-110,2024-04-13,"Brisket, Bacon","Cheddar, Melted Cheddar","Cheesy Garlic Bread, Side Mac","Bell Peppers, Parmesan, Tomatoes",Buffalo
13-112,2024-04-13,Grilled Chicken,Alfredo,NA,Parmesan,Ranch
13-113,2024-04-13,NA,Cheddar,NA,"Broccoli, Parmesan, Breadcrumbs","Pesto, Ranch"
13-111,2024-04-13,"Bacon, Brisket",Cheddar,NA,"Mushrooms, Parmesan, Breadcrumbs","Garlic Parmesan, BBQ"
13-117,2024-04-13,Bacon,"Melted Cheddar, Cheddar Mac",NA,NA,BBQ
13-116,2024-04-13,"Grilled Chicken, Pulled Pork","Cheddar, Pepper Jack",NA,"Bell Peppers, Breadcrumbs, Tomatoes","Pesto, BBQ"
13-115,2024-04-13,"Brisket, Grilled Chicken",Pepper Jack,NA,"Parmesan, Breadcrumbs, Tomatoes",BBQ
13-119,2024-04-13,Grilled Chicken,"Cheddar, Alfredo",Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
13-118,2024-04-13,Brisket,Cheddar,"Garlic Bread, Cheesy Garlic Bread",Breadcrumbs,BBQ
13-121,2024-04-13,"Bacon, Grilled Chicken",Alfredo,NA,"Parmesan, Mushrooms, Breadcrumbs",NA
13-123,2024-04-13,Pulled Pork,"Melted Pepper Jack, Pepper Jack Mac",NA,NA,BBQ
13-124,2024-04-13,"Bacon, Grilled Chicken",Cheddar,NA,"Breadcrumbs, Mushrooms, Tomatoes",Garlic Parmesan
13-125,2024-04-13,"Brisket, Grilled Chicken",Pepper Jack,Garlic Bread,"Parmesan, Breadcrumbs",Garlic Parmesan
13-127,2024-04-13,NA,Alfredo,NA,"Parmesan, Mushrooms, Breadcrumbs","Pesto, Garlic Parmesan"
13-126,2024-04-13,NA,Cheddar,NA,Breadcrumbs,Garlic Parmesan
13-129,2024-04-13,Brisket,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",BBQ
13-128,2024-04-13,Grilled Chicken,Cheddar,NA,"Parmesan, Corn","Buffalo, Ranch"
13-130,2024-04-13,NA,Cheddar,NA,"Corn, Breadcrumbs",Garlic Parmesan
13-131,2024-04-13,NA,Pepper Jack,Garlic Bread,Corn,"Pesto, Garlic Parmesan"
13-133,2024-04-13,"Brisket, Grilled Chicken, Pulled Pork",Cheddar,NA,"Pineapple, Corn, Tomatoes",Garlic Parmesan
13-135,2024-04-13,Bacon,Cheddar,NA,"Bell Peppers, Parmesan, Tomatoes","Pesto, Garlic Parmesan"
13-136,2024-04-13,Brisket,Cheddar,Cheesy Garlic Bread,NA,NA
13-138,2024-04-13,Brisket,Pepper Jack,NA,"Pineapple, Parmesan",Hot Honey
13-137,2024-04-13,"Brisket, Grilled Chicken, Pulled Pork",Pepper Jack,NA,"Parmesan, Mushrooms, Breadcrumbs",NA
13-140,2024-04-13,Brisket,Cheddar,Cheesecake,"Parmesan, Mushrooms, Corn, Breadcrumbs",NA
13-141,2024-04-13,Brisket,"Melted Cheddar, Melted Pepper Jack",Cheesecake,NA,"Ranch, Garlic Parmesan"
13-143,2024-04-13,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs","Ranch, BBQ"
13-144,2024-04-13,Brisket,Cheddar,NA,"Corn, Breadcrumbs",BBQ
13-146,2024-04-13,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Buffalo
13-147,2024-04-13,Brisket,"Cheddar, Pepper Jack",NA,"Bell Peppers, Parmesan, Corn, Breadcrumbs","Ranch, Pesto, Garlic Parmesan"
13-148,2024-04-13,"Brisket, Bacon",Cheddar,NA,"Breadcrumbs, Tomatoes",Buffalo
13-151,2024-04-13,Grilled Chicken,Alfredo,NA,"Mushrooms, Parmesan, Breadcrumbs, Bell Peppers, Tomatoes","Ranch, Buffalo, Garlic Parmesan"
13-153,2024-04-13,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,"Pineapple, Corn",NA
13-154,2024-04-13,NA,Pepper Jack,Garlic Bread,"Broccoli, Bell Peppers",BBQ
13-156,2024-04-13,Grilled Chicken,Alfredo,Cheesy Garlic Bread,"Broccoli, Parmesan, Breadcrumbs",Pesto
13-160,2024-04-13,NA,NA,Cheesy Garlic Bread,NA,NA
13-158,2024-04-13,Brisket,Pepper Jack,NA,"Parmesan, Corn, Breadcrumbs",Ranch
13-159,2024-04-13,Brisket,Cheddar,NA,"Corn, Tomatoes",NA
13-161,2024-04-13,Grilled Chicken,"Pepper Jack, Melted Pepper Jack",NA,"Parmesan, Mushrooms, Breadcrumbs","Buffalo, BBQ"
13-162,2024-04-13,"Brisket, Bacon","Cheddar, Melted Cheddar, Cheddar Mac",NA,"Parmesan, Mushrooms",BBQ
13-164,2024-04-13,Grilled Chicken,Cheddar,Cheesecake,"Broccoli, Parmesan, Breadcrumbs",NA
13-167,2024-04-13,Bacon,Cheddar,NA,Parmesan,NA
13-169,2024-04-13,"Brisket, Grilled Chicken",Cheddar,Cheesy Garlic Bread,"Mushrooms, Parmesan, Breadcrumbs, Broccoli, Corn","Pesto, Garlic Parmesan"
13-172,2024-04-13,Brisket,Cheddar,NA,"Parmesan, Broccoli, Bell Peppers, Onions, Pineapple, Corn","Garlic Parmesan, BBQ"
13-174,2024-04-13,Pulled Pork,Cheddar,NA,"Parmesan, Breadcrumbs, Broccoli, Bell Peppers, Pineapple, Corn, Tomatoes",BBQ
13-171,2024-04-13,Brisket,Cheddar,NA,Broccoli,NA
13-173,2024-04-13,Grilled Chicken,Cheddar,NA,NA,BBQ
13-170,2024-04-13,NA,Cheddar,Garlic Bread,"Broccoli, Parmesan",Garlic Parmesan
13-175,2024-04-13,"Bacon, Grilled Chicken",MIX,NA,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Onions, Broccoli, Tomatoes","Buffalo, Garlic Parmesan"
13-177,2024-04-13,"Brisket, Grilled Chicken, Bacon, Ham",Cheddar,"Garlic Bread, Cheesecake","Broccoli, Mushrooms, Parmesan, Corn","Ranch, Pesto, Garlic Parmesan, BBQ"
13-180,2024-04-13,"Brisket, Grilled Chicken","Pepper Jack, Cheddar","Cheesecake, Cheesy Garlic Bread","Parmesan, Jalapenos, Breadcrumbs, Onions, Corn, Tomatoes","Garlic Parmesan, Buffalo, Pesto, Ranch"
13-181,2024-04-13,NA,Pepper Jack,NA,"Broccoli, Bell Peppers, Onions",Garlic Parmesan
13-183,2024-04-13,NA,Cheddar,NA,"Parmesan, Mushrooms, Breadcrumbs","Buffalo, Garlic Parmesan"
13-186,2024-04-13,Brisket,Alfredo,Cheesy Garlic Bread,"Onions, Bell Peppers, Parmesan, Breadcrumbs",BBQ
13-187,2024-04-13,Grilled Chicken,Pepper Jack,NA,"Onions, Jalapenos, Breadcrumbs",Garlic Parmesan
13-188,2024-04-13,Brisket,Cheddar,NA,"Parmesan, Breadcrumbs",Ranch
13-190,2024-04-13,Brisket,Pepper Jack,Cheesy Garlic Bread,"Onions, Parmesan, Corn, Breadcrumbs","Buffalo, BBQ"
13-191,2024-04-13,NA,Pepper Jack,Cheesy Garlic Bread,"Parmesan, Jalapenos, Onions, Corn, Tomatoes","Pesto, Garlic Parmesan, BBQ"
13-193,2024-04-13,NA,"Melted Cheddar, Cheddar Mac",Cheesy Garlic Bread,"Parmesan, Breadcrumbs, Broccoli, Bell Peppers, Onions","Ranch, Pesto, Garlic Parmesan, Hot Honey"
13-192,2024-04-13,"Brisket, Pulled Pork","Cheddar, Alfredo",Garlic Bread,"Mushrooms, Parmesan, Breadcrumbs, Broccoli, Onions, Bell Peppers","Hot Honey, Ranch, Garlic Parmesan, BBQ"
13-194,2024-04-13,Pulled Pork,Cheddar,Cheesy Garlic Bread,"Parmesan, Mushrooms, Breadcrumbs",Garlic Parmesan
13-195,2024-04-13,Brisket,Cheddar,NA,Breadcrumbs,NA
13-196,2024-04-13,"Brisket, Grilled Chicken","Melted Pepper Jack, Alfredo, Cheddar Mac",NA,"Parmesan, Pineapple, Mushrooms, Corn","Pesto, Garlic Parmesan"
13-198,2024-04-13,Bacon,Alfredo,Cheesy Garlic Bread,Parmesan,NA
13-197,2024-04-13,Grilled Chicken,Alfredo,NA,"Parmesan, Corn, Breadcrumbs",Garlic Parmesan
13-199,2024-04-13,"Grilled Chicken, Ham",Cheddar,Cheesy Garlic Bread,Broccoli,NA
13-202,2024-04-13,Brisket,Cheddar,NA,NA,BBQ
13-203,2024-04-13,Brisket,Cheddar,NA,Breadcrumbs,BBQ
13-201,2024-04-13,Brisket,Cheddar,NA,Breadcrumbs,NA
13-200,2024-04-13,Brisket,Cheddar,NA,"Parmesan, Breadcrumbs","Buffalo, Ranch, BBQ"
13-204,2024-04-13,NA,Cheddar,Cheesecake,"Parmesan, Jalapenos, Breadcrumbs",Hot Honey
13-205,2024-04-13,Grilled Chicken,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",Ranch
13-207,2024-04-13,NA,Cheddar,NA,"Parmesan, Jalapenos, Breadcrumbs, Broccoli, Onions, Bell Peppers, Corn, Tomatoes","Pesto, Garlic Parmesan"
13-206,2024-04-13,Brisket,Cheddar,NA,Onions,"Buffalo, BBQ"
13-209,2024-04-13,Bacon,Cheddar,NA,Breadcrumbs,Buffalo
13-210,2024-04-13,Grilled Chicken,Melted Parmesan,NA,Parmesan,"Pesto, Garlic Parmesan"
13-208,2024-04-13,Bacon,Cheddar,NA,"Broccoli, Breadcrumbs",BBQ
13-212,2024-04-13,Bacon,"Melted Cheddar, Pepper Jack Mac",NA,NA,Ranch
13-215,2024-04-13,"Grilled Chicken, Pulled Pork","Melted Pepper Jack, Pepper Jack Mac",Garlic Bread,"Mushrooms, Jalapenos",Buffalo
13-218,2024-04-13,Brisket,Cheddar,Side Mac,"Parmesan, Breadcrumbs",NA
13-217,2024-04-13,Brisket,Cheddar,NA,"Parmesan, Breadcrumbs",BBQ
13-219,2024-04-13,"Brisket, Grilled Chicken",Cheddar,Garlic Bread,Parmesan,BBQ
13-221,2024-04-13,"Brisket, Bacon","Melted Cheddar, Alfredo Mac, Alfredo","Cheesecake, Cheesy Garlic Bread","Jalapenos, Breadcrumbs","Buffalo, Garlic Parmesan"
13-222,2024-04-13,Grilled Chicken,Cheddar,NA,"Broccoli, Parmesan, Corn, Breadcrumbs",Pesto
13-223,2024-04-13,NA,Melted Cheddar,Cheesy Garlic Bread,NA,NA
13-225,2024-04-13,NA,Cheddar,Cheesy Garlic Bread,"Onions, Corn, Breadcrumbs",Garlic Parmesan
13-224,2024-04-13,Grilled Chicken,Pepper Jack,"Garlic Bread, Cheesecake","Broccoli, Pineapple",Ranch
13-227,2024-04-13,"Brisket, Bacon",Melted Parmesan,Cheesy Garlic Bread,NA,NA
13-226,2024-04-13,"Brisket, Pulled Pork",Alfredo,NA,"Mushrooms, Breadcrumbs, Broccoli, Bell Peppers, Pineapple, Corn, Tomatoes",NA
13-228,2024-04-13,Bacon,Cheddar,Cheesy Garlic Bread,"Parmesan, Breadcrumbs",NA
13-229,2024-04-13,Brisket,Cheddar,Garlic Bread,Breadcrumbs,NA
13-230,2024-04-13,NA,Alfredo,NA,"Onions, Mushrooms, Corn, Tomatoes",Garlic Parmesan
13-231,2024-04-13,NA,Cheddar,NA,Parmesan,NA
13-233,2024-04-13,Brisket,Cheddar,NA,Broccoli,BBQ
13-232,2024-04-13,Brisket,Cheddar,NA,"Broccoli, Parmesan, Jalapenos, Breadcrumbs",Pesto
13-234,2024-04-13,Brisket,Cheddar,NA,Parmesan,BBQ
13-237,2024-04-13,Brisket,Alfredo,NA,"Onions, Bell Peppers, Parmesan, Jalapenos",Garlic Parmesan
13-236,2024-04-13,"Bacon, Grilled Chicken",Pepper Jack,NA,Parmesan,Garlic Parmesan
13-238,2024-04-13,NA,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
13-239,2024-04-13,Grilled Chicken,Cheddar,NA,"Parmesan, Breadcrumbs",BBQ
13-241,2024-04-13,Pulled Pork,Cheddar,NA,"Onions, Bell Peppers","Ranch, BBQ"
13-235,2024-04-13,"Brisket, Grilled Chicken, Bacon","Cheddar, Alfredo",NA,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Broccoli, Bell Peppers, Onions, Corn, Tomatoes","Hot Honey, Garlic Parmesan, Ranch, Buffalo, BBQ"
13-243,2024-04-13,"Bacon, Grilled Chicken","Melted Parmesan, Pepper Jack, Alfredo Mac, Cheddar",Cheesy Garlic Bread,"Mushrooms, Parmesan, Breadcrumbs","Buffalo, Garlic Parmesan, Hot Honey"
13-244,2024-04-13,"Bacon, Brisket","Cheddar, Alfredo",NA,Breadcrumbs,"Buffalo, BBQ"
13-245,2024-04-13,Brisket,Cheddar,NA,Breadcrumbs,NA
13-246,2024-04-13,Brisket,Pepper Jack,Garlic Bread,"Onions, Pineapple","Hot Honey, Garlic Parmesan, BBQ"
14-1,2024-04-14,Bacon,Cheddar,NA,"Broccoli, Bell Peppers, Parmesan, Onions",Garlic Parmesan
14-2,2024-04-14,Bacon,Cheddar,NA,"Onions, Corn",BBQ
14-3,2024-04-14,NA,NA,Garlic Bread,NA,NA
14-4,2024-04-14,NA,NA,Garlic Bread,NA,NA
14-6,2024-04-14,"Brisket, Bacon","Cheddar, Pepper Jack",NA,"Parmesan, Jalapenos, Breadcrumbs","Ranch, BBQ"
14-7,2024-04-14,"Bacon, Grilled Chicken",Alfredo,Cheesy Garlic Bread,"Bell Peppers, Parmesan, Breadcrumbs",NA
14-8,2024-04-14,NA,Cheddar,NA,"Broccoli, Mushrooms, Jalapenos, Onions",Garlic Parmesan
14-9,2024-04-14,NA,Cheddar,NA,"Broccoli, Mushrooms, Jalapenos, Onions",Garlic Parmesan
14-10,2024-04-14,Brisket,Alfredo,NA,"Bell Peppers, Parmesan",NA
14-11,2024-04-14,Pulled Pork,MIX,"Garlic Bread, Cheesy Garlic Bread","Onions, Pineapple, Tomatoes",NA
14-12,2024-04-14,Bacon,Cheddar,NA,"Parmesan, Breadcrumbs","Ranch, BBQ"
14-14,2024-04-14,Brisket,Cheddar,NA,"Mushrooms, Parmesan, Breadcrumbs, Broccoli, Tomatoes",Pesto
14-15,2024-04-14,"Grilled Chicken, Pulled Pork","Melted Pepper Jack, Pepper Jack Mac",NA,"Onions, Mushrooms, Jalapenos",Buffalo
14-18,2024-04-14,Brisket,"Cheddar, Melted Pepper Jack, Pepper Jack Mac",NA,"Parmesan, Broccoli, Bell Peppers, Onions, Tomatoes",NA
14-17,2024-04-14,"Brisket, Grilled Chicken","Cheddar, Pepper Jack, Alfredo",NA,"Bell Peppers, Pineapple, Corn, Tomatoes","Pesto, BBQ"
14-19,2024-04-14,NA,NA,Garlic Bread,NA,NA
14-20,2024-04-14,Grilled Chicken,Alfredo,NA,"Broccoli, Mushrooms, Tomatoes",Pesto
14-22,2024-04-14,Grilled Chicken,Alfredo,NA,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Onions, Bell Peppers, Corn, Tomatoes","Ranch, Buffalo, Garlic Parmesan"
14-23,2024-04-14,Grilled Chicken,Cheddar,Cheesy Garlic Bread,NA,Garlic Parmesan
14-25,2024-04-14,Pulled Pork,Alfredo,Garlic Bread,"Mushrooms, Parmesan, Jalapenos, Broccoli, Corn","Ranch, Garlic Parmesan"
14-24,2024-04-14,NA,Cheddar,NA,"Parmesan, Breadcrumbs",Garlic Parmesan
14-27,2024-04-14,"Bacon, Grilled Chicken",Alfredo,Garlic Bread,"Broccoli, Parmesan, Corn",BBQ
14-26,2024-04-14,Ham,Alfredo,NA,"Mushrooms, Parmesan, Breadcrumbs, Bell Peppers, Corn","Pesto, Garlic Parmesan"
14-28,2024-04-14,Brisket,Cheddar,NA,"Mushrooms, Parmesan, Breadcrumbs, Onions, Tomatoes","Pesto, BBQ"
14-29,2024-04-14,Grilled Chicken,Cheddar,NA,Breadcrumbs,NA
14-32,2024-04-14,Bacon,Pepper Jack,Garlic Bread,"Parmesan, Jalapenos, Breadcrumbs",Buffalo
14-31,2024-04-14,"Bacon, Grilled Chicken",Cheddar,NA,"Broccoli, Breadcrumbs, Parmesan, Onions","Buffalo, Ranch"
14-30,2024-04-14,"Bacon, Grilled Chicken","Cheddar, Melted Cheddar",NA,"Mushrooms, Breadcrumbs, Broccoli, Bell Peppers, Tomatoes",NA
14-33,2024-04-14,Brisket,Cheddar,NA,Parmesan,"Ranch, Buffalo, Garlic Parmesan"
14-34,2024-04-14,Grilled Chicken,Cheddar,Garlic Bread,"Parmesan, Breadcrumbs",Buffalo
14-35,2024-04-14,Brisket,Pepper Jack,Cheesy Garlic Bread,"Mushrooms, Parmesan, Breadcrumbs, Onions, Bell Peppers","Hot Honey, Ranch, Garlic Parmesan, BBQ"
14-36,2024-04-14,Grilled Chicken,Cheddar,NA,"Broccoli, Onions",Ranch
14-37,2024-04-14,NA,NA,Cheesy Garlic Bread,NA,NA
14-39,2024-04-14,NA,Cheddar,NA,Breadcrumbs,NA
14-38,2024-04-14,NA,Melted Cheddar,Garlic Bread,"Onions, Bell Peppers",NA
14-42,2024-04-14,NA,NA,Cheesecake,NA,NA
14-40,2024-04-14,Brisket,Cheddar,NA,"Mushrooms, Parmesan, Broccoli, Onions, Corn","Ranch, Buffalo, Garlic Parmesan"
14-41,2024-04-14,"Brisket, Grilled Chicken, Bacon",Cheddar,NA,"Broccoli, Corn, Breadcrumbs",BBQ
14-43,2024-04-14,NA,MIX,NA,"Bell Peppers, Parmesan, Jalapenos, Tomatoes","Garlic Parmesan, Hot Honey"
14-44,2024-04-14,NA,Cheddar,NA,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Broccoli, Onions, Bell Peppers, Corn, Tomatoes","Buffalo, Garlic Parmesan"
14-46,2024-04-14,Grilled Chicken,Cheddar,NA,"Parmesan, Jalapenos, Breadcrumbs, Onions, Bell Peppers, Corn, Tomatoes","Ranch, Buffalo, Garlic Parmesan"
14-47,2024-04-14,Grilled Chicken,Cheddar,NA,"Onions, Breadcrumbs, Corn, Jalapenos","Buffalo, Garlic Parmesan, Hot Honey"
14-45,2024-04-14,"Brisket, Pulled Pork",Cheddar,NA,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Onions",Pesto
14-49,2024-04-14,Brisket,Cheddar,NA,Breadcrumbs,Hot Honey
14-48,2024-04-14,"Brisket, Grilled Chicken, Bacon",Pepper Jack,Cheesy Garlic Bread,"Mushrooms, Parmesan, Jalapenos, Breadcrumbs, Broccoli, Onions, Bell Peppers, Pineapple, Corn, Tomatoes","Pesto, BBQ"
14-50,2024-04-14,Bacon,Cheddar,NA,NA,Ranch
14-51,2024-04-14,"Brisket, Bacon",Cheddar,Cheesy Garlic Bread,"Bell Peppers, Breadcrumbs, Tomatoes",BBQ
14-53,2024-04-14,NA,Alfredo,NA,"Broccoli, Breadcrumbs, Parmesan, Onions","Ranch, Garlic Parmesan, Hot Honey"
14-54,2024-04-14,NA,Alfredo,NA,"Parmesan, Jalapenos, Breadcrumbs, Broccoli, Onions, Corn","Ranch, Pesto, Garlic Parmesan"
14-55,2024-04-14,Brisket,Cheddar,NA,"Parmesan, Jalapenos","Pesto, Garlic Parmesan"
14-57,2024-04-14,Brisket,Pepper Jack,NA,"Parmesan, Corn, Breadcrumbs",BBQ
14-58,2024-04-14,NA,Cheddar,Garlic Bread,Parmesan,NA
14-56,2024-04-14,Bacon,Cheddar,NA,Breadcrumbs,NA
14-59,2024-04-14,NA,Alfredo,NA,"Broccoli, Corn",NA
14-60,2024-04-14,"Bacon, Brisket, Pulled Pork",Cheddar,"Garlic Bread, Cheesy Garlic Bread","Breadcrumbs, Corn, Tomatoes","Hot Honey, Buffalo, BBQ"
14-64,2024-04-14,Grilled Chicken,Cheddar,NA,"Broccoli, Corn, Jalapenos",Hot Honey
14-65,2024-04-14,"Brisket, Pulled Pork",Pepper Jack,NA,"Parmesan, Breadcrumbs","Hot Honey, BBQ"
14-67,2024-04-14,"Brisket, Pulled Pork","Melted Cheddar, Alfredo Mac, Alfredo, Cheddar Mac",Cheesecake,"Mushrooms, Breadcrumbs","Garlic Parmesan, BBQ"
14-68,2024-04-14,Brisket,Cheddar,NA,Parmesan,Garlic Parmesan
14-71,2024-04-14,Bacon,Pepper Jack,NA,"Broccoli, Breadcrumbs, Onions",Buffalo
